Labels,Ge-Sn-760-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,760.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

594.00,6.70566328E+4,
595.00,7.03219688E+4,
596.00,6.91438203E+4,
597.00,7.15869688E+4,
598.00,7.24670313E+4,
599.00,7.38127813E+4,
600.00,7.73628203E+4,
601.00,7.93426797E+4,
602.00,8.22801719E+4,
603.00,8.06135938E+4,
604.00,8.51129063E+4,
605.00,8.77790703E+4,
606.00,8.89001406E+4,
607.00,8.88705859E+4,
608.00,9.32354219E+4,
609.00,9.27135859E+4,
610.00,9.58005000E+4,
611.00,9.86426484E+4,
612.00,9.80346719E+4,
613.00,9.94853125E+4,
614.00,1.00246883E+5,
615.00,1.01636500E+5,
616.00,9.81465781E+4,
617.00,1.03900969E+5,
618.00,1.04105719E+5,
619.00,1.06938297E+5,
620.00,1.04295633E+5,
621.00,1.09151992E+5,
622.00,1.05518242E+5,
623.00,1.08395945E+5,
624.00,1.09535547E+5,
625.00,1.11208391E+5,
626.00,1.10532070E+5,
627.00,1.09735750E+5,
628.00,1.10802609E+5,
629.00,1.12986500E+5,
630.00,1.10877656E+5,
631.00,1.09419219E+5,
632.00,1.14095297E+5,
633.00,1.13518484E+5,
634.00,1.14654609E+5,
635.00,1.12277156E+5,
636.00,1.13628055E+5,
637.00,1.10467523E+5,
638.00,1.13141086E+5,
639.00,1.12493891E+5,
640.00,1.08259398E+5,
641.00,1.10151836E+5,
642.00,1.11348328E+5,
643.00,1.09396445E+5,
644.00,1.05879898E+5,
645.00,1.07885930E+5,
646.00,1.06785711E+5,
647.00,1.04894016E+5,
648.00,1.08393141E+5,
649.00,1.05591586E+5,
650.00,1.05922852E+5,
651.00,1.03156547E+5,
652.00,9.97364219E+4,
653.00,9.93777578E+4,
654.00,1.00267484E+5,
655.00,9.98833203E+4,
656.00,9.68078359E+4,
657.00,9.85669453E+4,
658.00,9.24700547E+4,
659.00,9.18188594E+4,
660.00,9.38881328E+4,
661.00,9.27897734E+4,
662.00,8.94265000E+4,
663.00,8.83218125E+4,
664.00,8.51528125E+4,
665.00,8.60928672E+4,
666.00,8.34514531E+4,
667.00,7.68589531E+4,
668.00,8.24029922E+4,
669.00,7.73782969E+4,
670.00,7.46956094E+4,
671.00,7.54822031E+4,
672.00,7.67347266E+4,
673.00,7.25223281E+4,
674.00,6.94922969E+4,
675.00,7.02412266E+4,
676.00,7.18929766E+4,
677.00,6.96170078E+4,
678.00,6.84114219E+4,
679.00,6.73196641E+4,
680.00,6.67913438E+4,
681.00,6.36603359E+4,
682.00,6.10802617E+4,
683.00,6.17305977E+4,
684.00,5.85735781E+4,
685.00,5.38341602E+4,
686.00,5.17866992E+4,
687.00,5.51069023E+4,
688.00,4.93662305E+4,
