Labels,GA-IN-805-EX,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,805.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

605.00,1.75051344E+5,
606.00,1.76600500E+5,
607.00,1.76229063E+5,
608.00,1.81516531E+5,
609.00,1.82718641E+5,
610.00,1.85103328E+5,
611.00,1.87600750E+5,
612.00,1.87536266E+5,
613.00,1.88582297E+5,
614.00,1.90722984E+5,
615.00,1.93142563E+5,
616.00,1.90261828E+5,
617.00,1.93162984E+5,
618.00,1.95112422E+5,
619.00,1.96861328E+5,
620.00,1.99600969E+5,
621.00,1.97015000E+5,
622.00,1.99248781E+5,
623.00,2.02013359E+5,
624.00,1.98076156E+5,
625.00,2.03299047E+5,
626.00,2.03861641E+5,
627.00,2.01753344E+5,
628.00,2.08265938E+5,
629.00,2.05595516E+5,
630.00,2.03592391E+5,
631.00,2.03399188E+5,
632.00,2.06697891E+5,
633.00,2.06163766E+5,
634.00,2.05840781E+5,
635.00,2.07838984E+5,
636.00,2.02817219E+5,
637.00,2.02159141E+5,
638.00,2.03544234E+5,
639.00,2.03599047E+5,
640.00,2.01467328E+5,
641.00,2.00455859E+5,
642.00,2.04560203E+5,
643.00,2.04500516E+5,
644.00,1.99049984E+5,
645.00,1.96904188E+5,
646.00,1.99197281E+5,
647.00,1.97450844E+5,
648.00,1.95560219E+5,
649.00,1.99128844E+5,
650.00,1.96355922E+5,
651.00,1.90606750E+5,
652.00,1.88065781E+5,
653.00,1.90231844E+5,
654.00,1.88599000E+5,
655.00,1.87181313E+5,
656.00,1.84579781E+5,
657.00,1.82103938E+5,
658.00,1.80727547E+5,
659.00,1.77835875E+5,
660.00,1.76816844E+5,
661.00,1.78683969E+5,
662.00,1.79367422E+5,
663.00,1.72235141E+5,
664.00,1.71149734E+5,
665.00,1.68142250E+5,
666.00,1.68536688E+5,
667.00,1.67767219E+5,
668.00,1.64998531E+5,
669.00,1.61005656E+5,
670.00,1.60910094E+5,
671.00,1.55410813E+5,
672.00,1.59514203E+5,
673.00,1.56381672E+5,
674.00,1.52641328E+5,
675.00,1.51864484E+5,
676.00,1.48372938E+5,
677.00,1.50201281E+5,
678.00,1.45505359E+5,
679.00,1.44458734E+5,
680.00,1.48736297E+5,
681.00,1.44983172E+5,
682.00,1.44246734E+5,
683.00,1.43627406E+5,
684.00,1.36947094E+5,
685.00,1.35633141E+5,
686.00,1.34873344E+5,
687.00,1.30187328E+5,
688.00,1.25909414E+5,
689.00,1.25809773E+5,
690.00,1.23463383E+5,
691.00,1.19912047E+5,
692.00,1.23628844E+5,
693.00,1.24354734E+5,
694.00,1.19855883E+5,
695.00,1.20948359E+5,
696.00,1.15274156E+5,
697.00,1.15280109E+5,
698.00,1.09834617E+5,
699.00,1.11398750E+5,
700.00,1.09543133E+5,
701.00,1.04935094E+5,
702.00,1.02201328E+5,
703.00,1.01062891E+5,
704.00,9.63064375E+4,
705.00,9.14267891E+4,
706.00,8.93631484E+4,
707.00,8.75499922E+4,
708.00,8.36188125E+4,
709.00,8.17260625E+4,
710.00,8.00676016E+4,
711.00,7.46968281E+4,
712.00,7.30771719E+4,
713.00,7.41543828E+4,
714.00,6.98379219E+4,
715.00,6.89140391E+4,
716.00,6.40798828E+4,
717.00,6.13802930E+4,
718.00,6.25006445E+4,
719.00,6.00060000E+4,
720.00,5.88754609E+4,
721.00,5.73512305E+4,
722.00,5.51087461E+4,
723.00,5.02005273E+4,
724.00,4.85208438E+4,
725.00,4.53352695E+4,
726.00,4.53953164E+4,
727.00,4.29078398E+4,
728.00,4.09179531E+4,
729.00,3.89968672E+4,
730.00,3.99466602E+4,
731.00,3.71368984E+4,
732.00,3.41915625E+4,
733.00,3.25864121E+4,
734.00,3.06469336E+4,
735.00,3.26724844E+4,
736.00,3.09768984E+4,
737.00,2.58173965E+4,
738.00,2.69861328E+4,
739.00,2.42128555E+4,
740.00,2.43592363E+4,
741.00,2.34419590E+4,
742.00,2.18482910E+4,
743.00,2.06097422E+4,
744.00,1.90030215E+4,
745.00,2.08428066E+4,
746.00,1.88106660E+4,
747.00,1.87421777E+4,
748.00,1.49655244E+4,
749.00,1.43552314E+4,
750.00,1.31944033E+4,
