Labels,Ge-Si-780-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,780.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

594.00,1.98060688E+5,
595.00,2.02052063E+5,
596.00,2.02008359E+5,
597.00,2.08405609E+5,
598.00,2.05645781E+5,
599.00,2.07072016E+5,
600.00,2.12505188E+5,
601.00,2.10147781E+5,
602.00,2.14067391E+5,
603.00,2.17600313E+5,
604.00,2.21128344E+5,
605.00,2.16623922E+5,
606.00,2.20996234E+5,
607.00,2.23227188E+5,
608.00,2.24913953E+5,
609.00,2.25041234E+5,
610.00,2.25822453E+5,
611.00,2.29472516E+5,
612.00,2.26612422E+5,
613.00,2.33668109E+5,
614.00,2.33358344E+5,
615.00,2.29582703E+5,
616.00,2.31205172E+5,
617.00,2.34082484E+5,
618.00,2.33239328E+5,
619.00,2.32516609E+5,
620.00,2.32123516E+5,
621.00,2.33127391E+5,
622.00,2.36014422E+5,
623.00,2.34320266E+5,
624.00,2.34845938E+5,
625.00,2.34717672E+5,
626.00,2.32933125E+5,
627.00,2.33443703E+5,
628.00,2.31914453E+5,
629.00,2.32572906E+5,
630.00,2.32536750E+5,
631.00,2.28391172E+5,
632.00,2.28006688E+5,
633.00,2.33710766E+5,
634.00,2.29526391E+5,
635.00,2.27238375E+5,
636.00,2.27123516E+5,
637.00,2.27470156E+5,
638.00,2.29282656E+5,
639.00,2.26197547E+5,
640.00,2.19562750E+5,
641.00,2.17297969E+5,
642.00,2.16173188E+5,
643.00,2.15185203E+5,
644.00,2.15490313E+5,
645.00,2.12646766E+5,
646.00,2.10311703E+5,
647.00,2.07685172E+5,
648.00,2.06206375E+5,
649.00,2.03426656E+5,
650.00,2.02039297E+5,
651.00,1.96209094E+5,
652.00,2.01060688E+5,
653.00,1.98975047E+5,
654.00,1.94872703E+5,
655.00,1.92985672E+5,
656.00,1.91624188E+5,
657.00,1.88613422E+5,
658.00,1.85221609E+5,
659.00,1.80021141E+5,
660.00,1.81575031E+5,
661.00,1.76306047E+5,
662.00,1.74058203E+5,
663.00,1.71361156E+5,
664.00,1.70511391E+5,
665.00,1.71654250E+5,
666.00,1.64156984E+5,
667.00,1.60627906E+5,
668.00,1.61671328E+5,
669.00,1.58339641E+5,
670.00,1.58110375E+5,
671.00,1.53542500E+5,
672.00,1.47320141E+5,
673.00,1.43124453E+5,
674.00,1.43165625E+5,
675.00,1.39602891E+5,
676.00,1.40632641E+5,
677.00,1.35430234E+5,
678.00,1.31825453E+5,
679.00,1.31295219E+5,
680.00,1.31504531E+5,
681.00,1.27929930E+5,
682.00,1.20341828E+5,
683.00,1.18655734E+5,
684.00,1.17105125E+5,
685.00,1.14643453E+5,
686.00,1.07308422E+5,
687.00,1.09257305E+5,
688.00,1.04649367E+5,
689.00,1.02395719E+5,
690.00,1.05148992E+5,
691.00,1.08772977E+5,
692.00,1.09615461E+5,
693.00,1.07745414E+5,
694.00,1.09900438E+5,
695.00,1.09520922E+5,
696.00,1.06484609E+5,
697.00,1.05050242E+5,
698.00,9.74507500E+4,
699.00,9.42362266E+4,
700.00,8.97065859E+4,
701.00,8.40922656E+4,
702.00,8.17357891E+4,
703.00,7.96520469E+4,
704.00,7.04819063E+4,
705.00,7.08080391E+4,
706.00,6.82322500E+4,
707.00,6.58498125E+4,
708.00,6.32194375E+4,
709.00,6.09557813E+4,
710.00,5.81919453E+4,
711.00,5.64820625E+4,
712.00,5.12233242E+4,
713.00,5.01036094E+4,
714.00,4.66805898E+4,
715.00,4.51499570E+4,
716.00,4.34752969E+4,
717.00,4.39092461E+4,
718.00,4.06772031E+4,
719.00,3.71875586E+4,
720.00,3.63466211E+4,
721.00,3.45185859E+4,
722.00,3.23465918E+4,
723.00,3.10686934E+4,
724.00,2.80494160E+4,
725.00,2.85004160E+4,
726.00,2.66189316E+4,
727.00,2.41037109E+4,
728.00,2.38218262E+4,
729.00,2.47107695E+4,
730.00,2.07547285E+4,
731.00,2.19782598E+4,
732.00,1.96196211E+4,
733.00,1.78403047E+4,
734.00,1.67694082E+4,
735.00,1.72014023E+4,
736.00,1.47549111E+4,
737.00,1.38584150E+4,
738.00,1.41841719E+4,
739.00,1.38188662E+4,
740.00,1.33421289E+4,
741.00,1.18932734E+4,
742.00,1.15574365E+4,
743.00,9.09899414E+3,
744.00,9.94043555E+3,
745.00,8.50081348E+3,
746.00,8.98096973E+3,
747.00,8.88654785E+3,
748.00,8.33563965E+3,
749.00,7.21914209E+3,
750.00,5.96915283E+3,
