h3bo3-fitted-36.51%
  QY = 36.51%
Labels,h3bo3,KONGBAI-3,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.30,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

530.00,1.64141083E+1,3.46629562E+1,
530.500,1.64870567E+1,2.43911934E+1,
531.00,1.79762478E+1,3.49593964E+1,
531.500,1.88526402E+1,2.79212208E+1,
532.00,1.88371086E+1,3.00259075E+1,
532.500,1.74705639E+1,3.45269279E+1,
533.00,1.38843269E+1,2.43450470E+1,
533.500,2.06521149E+1,3.58684425E+1,
534.00,9.56834888E+0,2.85641708E+1,
534.500,2.15613518E+1,2.87180252E+1,
535.00,1.78642502E+1,3.47318764E+1,
535.500,1.94102421E+1,3.49933472E+1,
536.00,1.65735111E+1,3.36535416E+1,
536.500,1.74413185E+1,2.92383804E+1,
537.00,1.28836098E+1,3.72944145E+1,
537.500,2.44863415E+1,3.20394745E+1,
538.00,9.19258881E+0,3.36184692E+1,
538.500,1.53517628E+1,2.52015591E+1,
539.00,1.61871719E+1,3.19321022E+1,
539.500,1.32409630E+1,3.00188675E+1,
540.00,1.40056868E+1,2.38714695E+1,
540.500,1.80005970E+1,2.81213856E+1,
541.00,1.49817266E+1,3.34752846E+1,
541.500,6.33932066E+0,2.95892029E+1,
542.00,7.14168787E+0,2.43471050E+1,
542.500,1.11465178E+1,3.72441521E+1,
543.00,1.12229452E+1,2.97581482E+1,
543.500,1.60778618E+1,3.20935822E+1,
544.00,1.84645443E+1,3.00959606E+1,
544.500,1.86395626E+1,3.89846077E+1,
545.00,1.30216951E+1,2.77738476E+1,
545.500,2.12837830E+1,2.73339901E+1,
546.00,1.39946775E+1,2.84347553E+1,
546.500,8.27641773E+0,3.63087730E+1,
