0.002cr-35.79%
  QY = 35.79%
Labels,EmScan5,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.450,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

680.00,0.00000000E+0,0.00000000E+0,
681.00,0.00000000E+0,0.00000000E+0,
682.00,0.00000000E+0,0.00000000E+0,
683.00,1.00180397E+1,0.00000000E+0,
684.00,0.00000000E+0,0.00000000E+0,
685.00,1.01443081E+1,0.00000000E+0,
686.00,1.02032499E+1,1.02326651E+1,
687.00,0.00000000E+0,1.03295069E+1,
688.00,2.07667217E+1,0.00000000E+0,
689.00,1.04543638E+1,0.00000000E+0,
690.00,2.11480980E+1,0.00000000E+0,
691.00,2.14469109E+1,0.00000000E+0,
692.00,1.07836466E+1,0.00000000E+0,
693.00,1.08980532E+1,0.00000000E+0,
694.00,0.00000000E+0,0.00000000E+0,
695.00,3.36409378E+1,0.00000000E+0,
696.00,1.13111277E+1,0.00000000E+0,
697.00,0.00000000E+0,0.00000000E+0,
698.00,4.67139626E+1,1.16103926E+1,
699.00,0.00000000E+0,1.17803984E+1,
700.00,2.40221157E+1,0.00000000E+0,
701.00,3.61977043E+1,0.00000000E+0,
702.00,6.12541466E+1,0.00000000E+0,
703.00,2.49450188E+1,1.24822006E+1,
704.00,0.00000000E+0,0.00000000E+0,
705.00,2.56794205E+1,0.00000000E+0,
706.00,3.90694008E+1,0.00000000E+0,
707.00,1.33057098E+1,1.33146124E+1,
708.00,2.70570183E+1,0.00000000E+0,
709.00,1.36956053E+1,0.00000000E+0,
710.00,8.30333633E+1,0.00000000E+0,
711.00,1.41636620E+1,1.41050415E+1,
712.00,4.28673172E+1,0.00000000E+0,
713.00,0.00000000E+0,0.00000000E+0,
714.00,2.97100792E+1,0.00000000E+0,
715.00,6.06501160E+1,1.51075573E+1,
716.00,1.53655691E+1,1.53314295E+1,
717.00,1.56656199E+1,1.56421986E+1,
718.00,3.18030796E+1,1.58878393E+1,
719.00,4.86703453E+1,0.00000000E+0,
720.00,1.65938606E+1,0.00000000E+0,
721.00,6.71827316E+1,0.00000000E+0,
722.00,3.42158966E+1,0.00000000E+0,
723.00,1.74895134E+1,0.00000000E+0,
724.00,7.10056381E+1,0.00000000E+0,
725.00,9.05309372E+1,0.00000000E+0,
726.00,5.54325066E+1,1.84539871E+1,
727.00,1.88919239E+1,0.00000000E+0,
728.00,3.83306389E+1,0.00000000E+0,
