0.01cr-24.01%
  QY = 24.01%
Labels,EmScan14,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.40,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

637.00,1.46598206E+1,1.45660105E+1,
638.00,4.91495323E+0,4.92982006E+0,
639.00,4.99788666E+0,5.00856686E+0,
640.00,1.02095518E+1,0.00000000E+0,
641.00,5.18975115E+0,5.19280243E+0,
642.00,0.00000000E+0,0.00000000E+0,
643.00,1.61192932E+1,0.00000000E+0,
644.00,1.09106760E+1,0.00000000E+0,
645.00,5.55293417E+0,1.65514126E+1,
646.00,0.00000000E+0,0.00000000E+0,
647.00,0.00000000E+0,5.75990677E+0,
648.00,1.17312784E+1,0.00000000E+0,
649.00,1.19684839E+1,1.19436522E+1,
650.00,6.06100845E+0,0.00000000E+0,
651.00,0.00000000E+0,1.23342409E+1,
652.00,1.26434717E+1,1.25759716E+1,
653.00,6.44191742E+0,6.42649555E+0,
654.00,0.00000000E+0,6.54289341E+0,
655.00,6.68373013E+0,0.00000000E+0,
656.00,0.00000000E+0,1.36138525E+1,
657.00,6.99078560E+0,6.95186234E+0,
658.00,0.00000000E+0,7.09739733E+0,
659.00,7.26671553E+0,0.00000000E+0,
660.00,0.00000000E+0,0.00000000E+0,
661.00,7.63882113E+0,0.00000000E+0,
662.00,0.00000000E+0,0.00000000E+0,
663.00,8.05132580E+0,8.05141449E+0,
664.00,0.00000000E+0,1.66201115E+1,
665.00,0.00000000E+0,8.62323093E+0,
666.00,1.77193203E+1,0.00000000E+0,
667.00,0.00000000E+0,9.08184624E+0,
668.00,0.00000000E+0,9.23050404E+0,
669.00,9.34040260E+0,1.86660690E+1,
670.00,0.00000000E+0,9.33199215E+0,
671.00,0.00000000E+0,0.00000000E+0,
672.00,9.44840240E+0,0.00000000E+0,
673.00,1.88620243E+1,2.83543625E+1,
674.00,1.89416485E+1,9.46189213E+0,
675.00,0.00000000E+0,0.00000000E+0,
676.00,0.00000000E+0,0.00000000E+0,
677.00,0.00000000E+0,0.00000000E+0,
678.00,0.00000000E+0,0.00000000E+0,
679.00,1.92427044E+1,0.00000000E+0,
680.00,0.00000000E+0,0.00000000E+0,
681.00,0.00000000E+0,0.00000000E+0,
682.00,0.00000000E+0,0.00000000E+0,
683.00,1.00129366E+1,0.00000000E+0,
684.00,2.01466274E+1,0.00000000E+0,
685.00,1.01672688E+1,0.00000000E+0,
686.00,1.02696733E+1,1.02326651E+1,
687.00,0.00000000E+0,1.03295069E+1,
688.00,1.03969440E+1,0.00000000E+0,
689.00,3.13533897E+1,0.00000000E+0,
690.00,0.00000000E+0,0.00000000E+0,
691.00,0.00000000E+0,0.00000000E+0,
692.00,1.08213511E+1,0.00000000E+0,
693.00,0.00000000E+0,0.00000000E+0,
694.00,2.21800938E+1,0.00000000E+0,
695.00,1.12589369E+1,0.00000000E+0,
696.00,0.00000000E+0,0.00000000E+0,
697.00,0.00000000E+0,0.00000000E+0,
698.00,2.31536617E+1,1.16103926E+1,
699.00,1.17837925E+1,1.17803984E+1,
700.00,1.19687815E+1,0.00000000E+0,
701.00,2.43576813E+1,0.00000000E+0,
702.00,0.00000000E+0,0.00000000E+0,
703.00,1.24607630E+1,1.24822006E+1,
704.00,0.00000000E+0,0.00000000E+0,
705.00,3.86772652E+1,0.00000000E+0,
706.00,0.00000000E+0,0.00000000E+0,
707.00,2.64824581E+1,1.33146124E+1,
708.00,2.69093571E+1,0.00000000E+0,
709.00,4.10457726E+1,0.00000000E+0,
710.00,2.77433453E+1,0.00000000E+0,
711.00,0.00000000E+0,1.41050415E+1,
712.00,1.43731136E+1,0.00000000E+0,
713.00,1.46461840E+1,0.00000000E+0,
714.00,0.00000000E+0,0.00000000E+0,
715.00,3.02661190E+1,1.51075573E+1,
716.00,3.07236500E+1,1.53314295E+1,
717.00,0.00000000E+0,1.56421986E+1,
718.00,0.00000000E+0,1.58878393E+1,
719.00,3.24364738E+1,0.00000000E+0,
720.00,4.99204712E+1,0.00000000E+0,
721.00,0.00000000E+0,0.00000000E+0,
722.00,5.16621971E+1,0.00000000E+0,
723.00,1.74803944E+1,0.00000000E+0,
724.00,0.00000000E+0,0.00000000E+0,
725.00,3.61356163E+1,0.00000000E+0,
726.00,1.85874805E+1,1.84539871E+1,
727.00,5.64635963E+1,0.00000000E+0,
728.00,5.76714706E+1,0.00000000E+0,
729.00,3.92934036E+1,0.00000000E+0,
730.00,7.98520660E+1,0.00000000E+0,
731.00,6.11650543E+1,0.00000000E+0,
732.00,6.23290977E+1,0.00000000E+0,
733.00,2.11024990E+1,0.00000000E+0,
734.00,8.67039413E+1,0.00000000E+0,
735.00,6.62796783E+1,0.00000000E+0,
736.00,0.00000000E+0,0.00000000E+0,
737.00,2.29029408E+1,0.00000000E+0,
738.00,0.00000000E+0,0.00000000E+0,
739.00,4.77424622E+1,0.00000000E+0,
740.00,4.87531700E+1,0.00000000E+0,
741.00,1.74469940E+2,0.00000000E+0,
742.00,7.62759933E+1,0.00000000E+0,
743.00,5.21102562E+1,0.00000000E+0,
744.00,7.93357086E+1,0.00000000E+0,
745.00,1.08049843E+2,2.69900932E+1,
746.00,1.38706512E+2,0.00000000E+0,
747.00,8.48348770E+1,0.00000000E+0,
748.00,1.15370605E+2,0.00000000E+0,
749.00,5.89039268E+1,0.00000000E+0,
750.00,1.21196953E+2,0.00000000E+0,
751.00,9.24681396E+1,0.00000000E+0,
752.00,1.89395233E+2,0.00000000E+0,
753.00,6.45149155E+1,0.00000000E+0,
754.00,1.64366592E+2,0.00000000E+0,
755.00,6.67785263E+1,0.00000000E+0,
756.00,3.44062004E+1,0.00000000E+0,
757.00,1.40746597E+2,0.00000000E+0,
758.00,2.87271973E+2,0.00000000E+0,
759.00,7.37226791E+1,0.00000000E+0,
760.00,1.12596748E+2,0.00000000E+0,
761.00,7.68629074E+1,0.00000000E+0,
762.00,2.34823364E+2,0.00000000E+0,
763.00,8.01230774E+1,0.00000000E+0,
764.00,1.63539108E+2,0.00000000E+0,
765.00,1.25438042E+2,0.00000000E+0,
766.00,1.70849869E+2,0.00000000E+0,
767.00,4.35398598E+1,0.00000000E+0,
768.00,1.78701157E+2,0.00000000E+0,
769.00,1.36154541E+2,0.00000000E+0,
770.00,2.32421173E+2,9.23984222E+1,
771.00,1.90094727E+2,0.00000000E+0,
772.00,2.43176147E+2,0.00000000E+0,
773.00,9.99771423E+1,4.94491158E+1,
774.00,0.00000000E+0,5.06930084E+1,
775.00,0.00000000E+0,0.00000000E+0,
776.00,5.31921310E+1,0.00000000E+0,
777.00,2.17408615E+2,0.00000000E+0,
778.00,1.66050217E+2,0.00000000E+0,
779.00,2.26792542E+2,0.00000000E+0,
780.00,1.74388611E+2,5.81166077E+1,
781.00,5.92905884E+1,1.18423424E+2,
782.00,1.21190773E+2,0.00000000E+0,
783.00,1.85801666E+2,0.00000000E+0,
784.00,4.44664001E+2,0.00000000E+0,
785.00,6.46921844E+1,0.00000000E+0,
786.00,3.28525269E+2,0.00000000E+0,
787.00,3.37087921E+2,1.33868683E+2,
788.00,2.06583374E+2,0.00000000E+0,
789.00,2.82270844E+2,0.00000000E+0,
790.00,2.15972977E+2,7.19295273E+1,
791.00,5.12958923E+2,0.00000000E+0,
792.00,3.74040863E+2,0.00000000E+0,
793.00,2.30683914E+2,0.00000000E+0,
794.00,7.84922180E+1,0.00000000E+0,
795.00,3.98038879E+2,0.00000000E+0,
796.00,0.00000000E+0,0.00000000E+0,
797.00,2.47284988E+2,0.00000000E+0,
798.00,1.69353485E+2,0.00000000E+0,
799.00,8.61340485E+1,0.00000000E+0,
800.00,1.76811172E+2,0.00000000E+0,
801.00,2.71196442E+2,0.00000000E+0,
802.00,2.76120026E+2,9.16384811E+1,
803.00,0.00000000E+0,0.00000000E+0,
804.00,2.87093231E+2,9.54012680E+1,
805.00,1.95247040E+2,0.00000000E+0,
806.00,9.94939041E+1,1.99195023E+2,
807.00,1.01833061E+2,0.00000000E+0,
808.00,3.10688873E+2,0.00000000E+0,
809.00,3.18766998E+2,0.00000000E+0,
810.00,3.25843536E+2,0.00000000E+0,
811.00,3.32837433E+2,1.10984024E+2,
812.00,2.26748779E+2,1.13760002E+2,
813.00,2.32046280E+2,0.00000000E+0,
814.00,3.59079559E+2,0.00000000E+0,
815.00,2.46615097E+2,0.00000000E+0,
816.00,2.54365540E+2,0.00000000E+0,
817.00,0.00000000E+0,0.00000000E+0,
818.00,4.03007172E+2,1.34129272E+2,
819.00,1.38567856E+2,0.00000000E+0,
820.00,0.00000000E+0,0.00000000E+0,
821.00,2.99665283E+2,0.00000000E+0,
822.00,1.55266312E+2,0.00000000E+0,
823.00,1.62336411E+2,0.00000000E+0,
824.00,1.69333893E+2,0.00000000E+0,
825.00,3.57025177E+2,0.00000000E+0,
826.00,0.00000000E+0,0.00000000E+0,
827.00,1.97631287E+2,1.97861084E+2,
828.00,0.00000000E+0,0.00000000E+0,
829.00,0.00000000E+0,0.00000000E+0,
830.00,2.39498810E+2,0.00000000E+0,
831.00,2.55093277E+2,2.55005768E+2,
832.00,2.72358856E+2,0.00000000E+0,
833.00,0.00000000E+0,0.00000000E+0,
834.00,0.00000000E+0,0.00000000E+0,
835.00,0.00000000E+0,0.00000000E+0,
836.00,0.00000000E+0,0.00000000E+0,
837.00,4.04577240E+2,0.00000000E+0,
838.00,1.31875354E+3,0.00000000E+0,
839.00,4.77991425E+2,0.00000000E+0,
840.00,5.20221313E+2,0.00000000E+0,
841.00,5.69485596E+2,1.13973877E+3,
842.00,6.28383118E+2,0.00000000E+0,
843.00,1.38016516E+3,0.00000000E+0,
844.00,0.00000000E+0,7.58837830E+2,
845.00,8.32260071E+2,8.27978760E+2,
846.00,0.00000000E+0,0.00000000E+0,
847.00,0.00000000E+0,0.00000000E+0,
848.00,2.23952026E+3,0.00000000E+0,
849.00,1.23423608E+3,0.00000000E+0,
850.00,1.35789819E+3,0.00000000E+0,
