Labels,NaLu2-0,
Type,Excitation Scan,
Comment,,
Start,230.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,822.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

565.00,7.59831016E+4,
566.00,7.78058594E+4,
567.00,7.92250234E+4,
568.00,7.99082188E+4,
569.00,8.16862734E+4,
570.00,8.24177891E+4,
571.00,8.60861172E+4,
572.00,8.73928438E+4,
573.00,8.83613203E+4,
574.00,9.37263359E+4,
575.00,9.16425391E+4,
576.00,9.41027578E+4,
577.00,9.58145469E+4,
578.00,9.81358516E+4,
579.00,1.00613305E+5,
580.00,1.01031367E+5,
581.00,1.05406828E+5,
582.00,1.05539813E+5,
583.00,1.06161484E+5,
584.00,1.07058086E+5,
585.00,1.10134805E+5,
586.00,1.11857766E+5,
587.00,1.17482953E+5,
588.00,1.16658492E+5,
589.00,1.18756398E+5,
590.00,1.21246883E+5,
591.00,1.20564852E+5,
592.00,1.22849773E+5,
593.00,1.25818922E+5,
594.00,1.26581391E+5,
595.00,1.27326883E+5,
596.00,1.28478328E+5,
597.00,1.31029578E+5,
598.00,1.34114719E+5,
599.00,1.33892344E+5,
600.00,1.34768047E+5,
601.00,1.38166094E+5,
602.00,1.38858172E+5,
603.00,1.41602797E+5,
604.00,1.41065563E+5,
605.00,1.43321531E+5,
606.00,1.42481953E+5,
607.00,1.45108094E+5,
608.00,1.45733906E+5,
609.00,1.45923453E+5,
610.00,1.48609781E+5,
611.00,1.50020844E+5,
612.00,1.50934375E+5,
613.00,1.49909750E+5,
614.00,1.51064984E+5,
615.00,1.54385609E+5,
616.00,1.52377281E+5,
617.00,1.55647031E+5,
618.00,1.55803203E+5,
619.00,1.53803344E+5,
620.00,1.58128172E+5,
621.00,1.58582750E+5,
622.00,1.59263672E+5,
623.00,1.60561844E+5,
624.00,1.59886938E+5,
625.00,1.61335281E+5,
626.00,1.61024109E+5,
627.00,1.62351250E+5,
628.00,1.63928563E+5,
629.00,1.62199234E+5,
630.00,1.66127359E+5,
631.00,1.64075047E+5,
632.00,1.64167063E+5,
633.00,1.64315703E+5,
634.00,1.63908969E+5,
635.00,1.67116031E+5,
636.00,1.66057953E+5,
637.00,1.66459219E+5,
638.00,1.67044266E+5,
639.00,1.69150781E+5,
640.00,1.65645688E+5,
641.00,1.64934641E+5,
642.00,1.67212469E+5,
643.00,1.62521625E+5,
644.00,1.63264172E+5,
645.00,1.65513156E+5,
646.00,1.63633813E+5,
647.00,1.65820594E+5,
648.00,1.64788344E+5,
649.00,1.61748953E+5,
650.00,1.59753875E+5,
651.00,1.62205219E+5,
652.00,1.59526078E+5,
653.00,1.53874594E+5,
654.00,1.57193891E+5,
