Labels,KONGBAI-3,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.10,
Detector,Det 1,

802.00,0.00000000E+0,
802.500,1.92525681E+2,
803.00,2.15890312E+1,
803.500,0.00000000E+0,
804.00,2.20477161E+1,
804.500,6.67003021E+1,
805.00,-6.74292679E+1,
805.500,1.13293213E+2,
806.00,-6.86483612E+1,
806.500,0.00000000E+0,
807.00,1.64235840E+2,
807.500,0.00000000E+0,
808.00,2.40307713E+1,
808.500,1.93454819E+2,
809.00,4.88723297E+1,
809.500,2.21698151E+2,
810.00,-2.48663254E+1,
810.500,-1.25908890E+2,
811.00,1.27522263E+2,
811.500,5.16772842E+1,
812.00,-2.61668262E+1,
812.500,7.95102158E+1,
813.00,-2.68605576E+1,
813.500,0.00000000E+0,
814.00,1.10628326E+2,
814.500,1.11961960E+2,
815.00,1.14247086E+2,
815.500,2.88022747E+1,
816.00,1.75315216E+2,
816.500,8.89488602E+1,
817.00,-9.00180435E+1,
817.500,6.12007141E+1,
818.00,6.20353775E+1,
818.500,-6.29383354E+1,
819.00,-3.19901237E+1,
819.500,-9.78285141E+1,
820.00,3.32280045E+1,
820.500,3.37418022E+1,
821.00,-6.87443466E+1,
821.500,0.00000000E+0,
822.00,1.07631325E+2,
822.500,0.00000000E+0,
823.00,-7.47997589E+1,
823.500,3.81131783E+1,
824.00,-3.91299515E+1,
824.500,-4.00413589E+1,
825.00,1.64387466E+2,
825.500,-1.26619301E+2,
826.00,-4.33717155E+1,
826.500,-4.43881073E+1,
827.00,4.56918030E+1,
827.500,4.69118500E+1,
828.00,-4.84099846E+1,
828.500,0.00000000E+0,
829.00,4.12531036E+2,
829.500,0.00000000E+0,
830.00,2.75505524E+2,
