0.01cr-3%LIF-46.29%
  QY = 46.29%
Labels,EmScan26,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.80,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

648.00,0.00000000E+0,-5.15898466E+0,
649.00,0.00000000E+0,-5.25967598E+0,
650.00,5.30529642E+0,-5.33226824E+0,
651.00,-5.41746140E+0,-5.40238619E+0,
652.00,1.10161810E+1,2.76311512E+1,
653.00,0.00000000E+0,1.12727489E+1,
654.00,-1.15201941E+1,5.73876715E+0,
655.00,0.00000000E+0,5.85592699E+0,
656.00,1.18714676E+1,-5.97172499E+0,
657.00,-6.07873058E+0,-6.08657694E+0,
658.00,-6.23524570E+0,6.22919703E+0,
659.00,1.27309523E+1,-1.27009640E+1,
660.00,6.52644968E+0,-1.30395861E+1,
661.00,-6.64540291E+0,-6.69352627E+0,
662.00,0.00000000E+0,-6.86088943E+0,
663.00,2.83761959E+1,-7.02997398E+0,
664.00,-7.25775290E+0,7.28480005E+0,
665.00,-7.52920341E+0,-1.51100950E+1,
666.00,0.00000000E+0,0.00000000E+0,
667.00,7.99835253E+0,-1.59280510E+1,
668.00,2.43272171E+1,8.10572720E+0,
669.00,0.00000000E+0,0.00000000E+0,
670.00,-8.20297813E+0,0.00000000E+0,
671.00,8.21282959E+0,-8.20519638E+0,
672.00,8.17849350E+0,-8.19811440E+0,
673.00,3.30150986E+1,-1.65436840E+1,
674.00,-1.64833469E+1,-1.65233040E+1,
675.00,2.48876648E+1,8.29272461E+0,
676.00,-8.33429337E+0,-1.67053947E+1,
677.00,2.50458908E+1,8.38072681E+0,
678.00,8.40977859E+0,-8.44337368E+0,
679.00,2.53776608E+1,0.00000000E+0,
680.00,8.61411476E+0,-1.72530422E+1,
681.00,1.73140030E+1,-1.73574715E+1,
682.00,1.74611416E+1,-8.75555897E+0,
683.00,1.75851517E+1,-8.83845234E+0,
684.00,3.53864555E+1,0.00000000E+0,
685.00,2.67151337E+1,0.00000000E+0,
686.00,4.47524605E+1,8.95785522E+0,
687.00,5.42045898E+1,-1.81502018E+1,
688.00,2.71989059E+1,-9.12809277E+0,
689.00,9.14913940E+0,9.19760323E+0,
690.00,2.78103943E+1,-1.86196117E+1,
691.00,4.68042564E+1,0.00000000E+0,
692.00,4.73071861E+1,0.00000000E+0,
693.00,2.87595024E+1,-1.91848621E+1,
694.00,8.70463638E+1,-1.93893757E+1,
695.00,5.89490547E+1,-1.95850410E+1,
696.00,1.18983917E+2,-1.98847580E+1,
697.00,3.01854382E+1,-2.01386299E+1,
698.00,1.22773773E+2,-2.03424187E+1,
699.00,9.28159790E+1,-1.03388882E+1,
700.00,1.36514618E+2,-2.09333172E+1,
701.00,6.37969551E+1,-1.06330347E+1,
702.00,1.19089828E+2,-1.08143034E+1,
703.00,3.28592453E+1,-1.08983507E+1,
704.00,1.21608521E+2,0.00000000E+0,
705.00,1.46336029E+2,-2.25355434E+1,
706.00,8.03063889E+1,-2.28189163E+1,
707.00,1.15920082E+2,-2.31958294E+1,
708.00,1.29492859E+2,-2.35942917E+1,
709.00,1.78441528E+2,-1.19748039E+1,
710.00,8.48659286E+1,-1.21861477E+1,
711.00,1.24671692E+2,-2.48080044E+1,
712.00,1.89048553E+2,-1.25587416E+1,
713.00,1.40453445E+2,-1.27989140E+1,
714.00,1.30392029E+2,0.00000000E+0,
715.00,1.45272003E+2,-2.63780098E+1,
716.00,1.74635544E+2,-2.68927631E+1,
717.00,2.06107803E+2,-2.74124241E+1,
718.00,2.09405273E+2,1.39573441E+1,
719.00,3.11006470E+2,-2.84609756E+1,
720.00,1.59229919E+2,-1.44787092E+1,
721.00,2.79920074E+2,-2.93629246E+1,
722.00,1.79995010E+2,-1.50017900E+1,
723.00,9.17364044E+1,-1.53076830E+1,
724.00,2.32302841E+2,-1.55579996E+1,
725.00,2.54528687E+2,-1.58398485E+1,
726.00,2.26585129E+2,0.00000000E+0,
727.00,2.30647339E+2,-3.29551010E+1,
728.00,2.18543472E+2,-3.35674973E+1,
729.00,1.87996002E+2,-3.42815704E+1,
730.00,2.62342529E+2,-1.73826199E+1,
731.00,2.50588577E+2,-3.55938492E+1,
732.00,3.10225037E+2,1.82186260E+1,
733.00,1.29598389E+2,-3.72515945E+1,
734.00,1.50922974E+2,-1.90061779E+1,
735.00,3.08880341E+2,-1.93518410E+1,
736.00,2.36093292E+2,-3.94542732E+1,
737.00,2.80893005E+2,-4.02128754E+1,
738.00,2.88323944E+2,-2.04802227E+1,
739.00,2.72094879E+2,-4.19786949E+1,
740.00,1.71120407E+2,0.00000000E+0,
741.00,3.05067139E+2,-4.35690880E+1,
742.00,4.01845215E+2,-2.23048134E+1,
