0.01cr-1%li2co3
  QY = 61.19%
Labels,EmScan22,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.450,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

612.00,-2.96417236E+0,0.00000000E+0,
613.00,0.00000000E+0,2.99219656E+0,
614.00,0.00000000E+0,0.00000000E+0,
615.00,-3.06598163E+0,6.14768314E+0,
616.00,6.21670294E+0,-3.11339569E+0,
617.00,3.13341427E+0,0.00000000E+0,
618.00,-3.19245958E+0,1.59802217E+1,
619.00,6.46696091E+0,3.24826264E+0,
620.00,1.30752001E+1,9.84860611E+0,
621.00,0.00000000E+0,9.99554348E+0,
622.00,6.74630404E+0,1.01829138E+1,
623.00,0.00000000E+0,1.37185555E+1,
624.00,1.04150352E+1,6.99665976E+0,
625.00,3.52217722E+0,-7.10995293E+0,
626.00,-3.58176446E+0,3.58846307E+0,
627.00,7.28880453E+0,-3.64486647E+0,
628.00,0.00000000E+0,-3.70253372E+0,
629.00,7.44373798E+0,7.49518633E+0,
630.00,7.61255836E+0,-3.79987812E+0,
631.00,1.53859377E+1,3.85587788E+0,
632.00,3.91339540E+0,3.91783047E+0,
633.00,0.00000000E+0,1.99466286E+1,
634.00,-4.02443838E+0,8.13392258E+0,
635.00,1.63877621E+1,-4.11434650E+0,
636.00,0.00000000E+0,0.00000000E+0,
637.00,4.23012686E+0,8.54009914E+0,
638.00,0.00000000E+0,-8.70458412E+0,
639.00,8.70681000E+0,0.00000000E+0,
640.00,0.00000000E+0,4.47044230E+0,
641.00,1.80823078E+1,9.11584663E+0,
642.00,1.37752428E+1,0.00000000E+0,
643.00,-4.68134165E+0,0.00000000E+0,
644.00,0.00000000E+0,0.00000000E+0,
645.00,-4.81823492E+0,4.82845545E+0,
646.00,0.00000000E+0,9.85867405E+0,
647.00,-5.01578712E+0,-1.00919971E+1,
648.00,-5.09937143E+0,-5.15898466E+0,
649.00,1.03850117E+1,-5.25967598E+0,
650.00,3.17462196E+1,-5.33226824E+0,
651.00,0.00000000E+0,-5.40238619E+0,
652.00,0.00000000E+0,2.76311512E+1,
653.00,0.00000000E+0,1.12727489E+1,
654.00,-5.71603251E+0,5.73876715E+0,
655.00,2.33600464E+1,5.85592699E+0,
656.00,-5.92678881E+0,-5.97172499E+0,
657.00,1.21405067E+1,-6.08657694E+0,
658.00,0.00000000E+0,6.22919703E+0,
659.00,1.26406746E+1,-1.27009640E+1,
660.00,-6.49241209E+0,-1.30395861E+1,
661.00,3.31168556E+1,-6.69352627E+0,
662.00,0.00000000E+0,-6.86088943E+0,
