0.01cr-3%NH4F-55.11%
  QY = 55.11%
Labels,EmScan27,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

722.00,1.64396896E+2,-1.50017900E+1,
723.00,1.37591141E+2,-1.53076830E+1,
724.00,2.03759644E+2,-1.55579996E+1,
725.00,1.74937012E+2,-1.58398485E+1,
726.00,3.07656006E+2,0.00000000E+0,
727.00,2.64020538E+2,-3.29551010E+1,
728.00,2.52323715E+2,-3.35674973E+1,
729.00,3.25435730E+2,-3.42815704E+1,
730.00,2.96078827E+2,-1.73826199E+1,
731.00,1.07000336E+2,-3.55938492E+1,
732.00,2.17157486E+2,1.82186260E+1,
733.00,3.69905243E+2,-3.72515945E+1,
734.00,3.97530884E+2,-1.90061779E+1,
735.00,3.28877960E+2,-1.93518410E+1,
736.00,3.93878082E+2,-3.94542732E+1,
737.00,2.59975342E+2,-4.02128754E+1,
738.00,2.24939423E+2,-2.04802227E+1,
739.00,3.14442017E+2,-4.19786949E+1,
740.00,3.65422333E+2,0.00000000E+0,
741.00,2.62379456E+2,-4.35690880E+1,
742.00,1.78209610E+2,-2.23048134E+1,
743.00,2.27236542E+2,-2.28622990E+1,
744.00,2.78748383E+2,-4.66925697E+1,
745.00,4.02313751E+2,-4.73518410E+1,
746.00,5.08035095E+2,-4.83096733E+1,
747.00,3.22394592E+2,0.00000000E+0,
748.00,2.01469604E+2,-2.53548317E+1,
749.00,3.08800446E+2,0.00000000E+0,
750.00,3.93190247E+2,5.29068565E+1,
751.00,2.68523041E+2,-5.39124146E+1,
752.00,2.47113510E+2,-5.53577499E+1,
753.00,2.79750153E+2,-5.62472382E+1,
754.00,1.99865875E+2,-2.86631508E+1,
755.00,3.82923584E+2,-5.89327087E+1,
756.00,2.39234940E+2,-6.02549324E+1,
757.00,3.06555969E+2,-6.15548553E+1,
758.00,3.14138611E+2,-3.12144909E+1,
759.00,1.93000916E+2,0.00000000E+0,
760.00,3.60789520E+2,-6.58889236E+1,
761.00,3.68084869E+2,-6.71115036E+1,
762.00,3.79662720E+2,-6.87590790E+1,
763.00,3.51655914E+2,-3.52416534E+1,
