0.01CR-58.97%
  QY = 58.97%
Labels,EmScan32,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.150,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

576.00,9.97073364E+0,1.19949188E+1,
577.00,4.03603029E+0,8.13036728E+0,
578.00,8.12150192E+0,1.42912760E+1,
579.00,6.17593956E+0,8.25390434E+0,
580.00,8.34247303E+0,6.26589870E+0,
581.00,1.26250772E+1,1.27052517E+1,
582.00,6.36900949E+0,8.52427197E+0,
583.00,-2.14484119E+0,1.07819767E+1,
584.00,0.00000000E+0,1.09270363E+1,
585.00,6.54855156E+0,1.10059366E+1,
586.00,4.43564510E+0,2.22697759E+0,
587.00,2.22740102E+0,1.79947605E+1,
588.00,6.75204229E+0,1.35043488E+1,
589.00,2.29486585E+0,9.10214329E+0,
590.00,4.61696672E+0,1.38582315E+1,
591.00,1.17183199E+1,9.36912441E+0,
592.00,7.08314657E+0,0.00000000E+0,
593.00,-4.78709412E+0,2.39458394E+0,
594.00,4.80752516E+0,1.69310017E+1,
595.00,-2.43582058E+0,2.67279453E+1,
596.00,4.90558290E+0,9.80982208E+0,
597.00,7.44082832E+0,-4.96667910E+0,
598.00,2.50447774E+0,1.25124788E+1,
599.00,-2.53092051E+0,7.63617706E+0,
600.00,-2.55488253E+0,5.16596985E+0,
601.00,5.17843914E+0,5.19834900E+0,
602.00,1.04651604E+1,7.86745739E+0,
603.00,1.32439613E+1,5.29805088E+0,
604.00,-5.37663698E+0,5.36842680E+0,
605.00,1.07877846E+1,1.63024254E+1,
606.00,2.74393129E+0,2.75867653E+0,
607.00,1.11055717E+1,5.56790543E+0,
608.00,2.80565715E+0,2.54877777E+1,
609.00,-2.84641528E+0,-2.84920025E+0,
610.00,0.00000000E+0,-2.88573313E+0,
611.00,0.00000000E+0,8.79519463E+0,
612.00,-2.95643020E+0,0.00000000E+0,
613.00,6.00005293E+0,2.99219656E+0,
614.00,0.00000000E+0,0.00000000E+0,
615.00,-6.13819361E+0,6.14768314E+0,
616.00,1.24549217E+1,-3.11339569E+0,
617.00,0.00000000E+0,0.00000000E+0,
618.00,9.60041237E+0,1.59802217E+1,
619.00,-6.51380539E+0,3.24826264E+0,
620.00,-6.60473394E+0,9.84860611E+0,
621.00,-3.34295154E+0,9.99554348E+0,
622.00,3.37806082E+0,1.01829138E+1,
623.00,-6.86948442E+0,1.37185555E+1,
624.00,-3.46566057E+0,6.99665976E+0,
625.00,-7.06813717E+0,-7.10995293E+0,
626.00,-3.58158946E+0,3.58846307E+0,
627.00,-3.63656044E+0,-3.64486647E+0,
628.00,0.00000000E+0,-3.70253372E+0,
629.00,-3.75723052E+0,7.49518633E+0,
630.00,0.00000000E+0,-3.79987812E+0,
631.00,0.00000000E+0,3.85587788E+0,
632.00,-7.81207609E+0,3.91783047E+0,
633.00,7.94899082E+0,1.99466286E+1,
634.00,4.06376553E+0,8.13392258E+0,
635.00,0.00000000E+0,-4.11434650E+0,
636.00,-8.35160446E+0,0.00000000E+0,
637.00,-4.25760508E+0,8.54009914E+0,
638.00,4.32005835E+0,-8.70458412E+0,
639.00,-4.40092373E+0,0.00000000E+0,
640.00,-8.90822887E+0,4.47044230E+0,
641.00,-4.52980089E+0,9.11584663E+0,
642.00,4.61402035E+0,0.00000000E+0,
643.00,-4.71140957E+0,0.00000000E+0,
644.00,-4.77360058E+0,0.00000000E+0,
645.00,-4.85172987E+0,4.82845545E+0,
646.00,4.94110250E+0,9.85867405E+0,
647.00,5.06029510E+0,-1.00919971E+1,
648.00,-5.13058710E+0,-5.15898466E+0,
649.00,0.00000000E+0,-5.25967598E+0,
650.00,0.00000000E+0,-5.33226824E+0,
651.00,5.40317774E+0,-5.40238619E+0,
652.00,-5.50922060E+0,2.76311512E+1,
653.00,-5.61412907E+0,1.12727489E+1,
654.00,1.72892990E+1,5.73876715E+0,
655.00,0.00000000E+0,5.85592699E+0,
656.00,1.79819317E+1,-5.97172499E+0,
657.00,2.43191967E+1,-6.08657694E+0,
658.00,6.22754955E+0,6.22919703E+0,
659.00,1.26952572E+1,-1.27009640E+1,
660.00,1.30331945E+1,-1.30395861E+1,
661.00,1.99574299E+1,-6.69352627E+0,
662.00,6.81637096E+0,-6.86088943E+0,
663.00,2.11121616E+1,-7.02997398E+0,
664.00,-7.29457521E+0,7.28480005E+0,
665.00,0.00000000E+0,-1.51100950E+1,
666.00,-7.79679871E+0,0.00000000E+0,
667.00,-7.93998480E+0,-1.59280510E+1,
668.00,-1.62079506E+1,8.10572720E+0,
669.00,3.24688072E+1,0.00000000E+0,
670.00,-1.63128242E+1,0.00000000E+0,
671.00,-1.64145679E+1,-8.20519638E+0,
672.00,0.00000000E+0,-8.19811440E+0,
673.00,1.64738293E+1,-1.65436840E+1,
674.00,0.00000000E+0,-1.65233040E+1,
675.00,8.31084824E+0,8.29272461E+0,
676.00,2.51036739E+1,-1.67053947E+1,
677.00,4.18371620E+1,8.38072681E+0,
678.00,-8.35150528E+0,-8.44337368E+0,
679.00,8.44752693E+0,0.00000000E+0,
680.00,2.57926331E+1,-1.72530422E+1,
681.00,1.73569622E+1,-1.73574715E+1,
682.00,1.74291763E+1,-8.75555897E+0,
683.00,1.75352554E+1,-8.83845234E+0,
684.00,6.17500954E+1,0.00000000E+0,
685.00,6.18177032E+1,0.00000000E+0,
686.00,1.78640957E+1,8.95785522E+0,
687.00,3.60286980E+1,-1.81502018E+1,
688.00,9.06497669E+0,-9.12809277E+0,
689.00,1.82731380E+1,9.19760323E+0,
690.00,1.84933376E+1,-1.86196117E+1,
691.00,2.81520290E+1,0.00000000E+0,
692.00,0.00000000E+0,0.00000000E+0,
693.00,6.71965103E+1,-1.91848621E+1,
694.00,6.77850037E+1,-1.93893757E+1,
695.00,1.07709290E+2,-1.95850410E+1,
696.00,8.93691483E+1,-1.98847580E+1,
697.00,4.01633873E+1,-2.01386299E+1,
698.00,8.13752441E+1,-2.03424187E+1,
699.00,8.26997528E+1,-1.03388882E+1,
700.00,2.09101696E+1,-2.09333172E+1,
701.00,4.24267731E+1,-1.06330347E+1,
702.00,3.21733360E+1,-1.08143034E+1,
703.00,5.47923279E+1,-1.08983507E+1,
704.00,7.75805283E+1,0.00000000E+0,
705.00,5.60704155E+1,-2.25355434E+1,
706.00,6.82103882E+1,-2.28189163E+1,
707.00,9.25628738E+1,-2.31958294E+1,
708.00,1.29420624E+2,-2.35942917E+1,
709.00,1.07170311E+2,-1.19748039E+1,
710.00,9.72630386E+1,-1.21861477E+1,
711.00,7.40358047E+1,-2.48080044E+1,
712.00,5.02280884E+1,-1.25587416E+1,
713.00,8.94328232E+1,-1.27989140E+1,
714.00,1.30028030E+2,0.00000000E+0,
715.00,1.31724106E+2,-2.63780098E+1,
716.00,1.20473000E+2,-2.68927631E+1,
717.00,1.50127426E+2,-2.74124241E+1,
718.00,1.66367462E+2,1.39573441E+1,
719.00,1.41815460E+2,-2.84609756E+1,
720.00,1.44728958E+2,-1.44787092E+1,
721.00,1.32769226E+2,-2.93629246E+1,
722.00,1.20089546E+2,-1.50017900E+1,
723.00,1.82619995E+2,-1.53076830E+1,
724.00,3.26871338E+2,-1.55579996E+1,
725.00,7.90002136E+1,-1.58398485E+1,
726.00,1.77282944E+2,0.00000000E+0,
727.00,2.15494263E+2,-3.29551010E+1,
728.00,2.33892944E+2,-3.35674973E+1,
729.00,1.19512390E+2,-3.42815704E+1,
730.00,1.21861267E+2,-1.73826199E+1,
731.00,8.85110016E+1,-3.55938492E+1,
732.00,1.45342560E+2,1.82186260E+1,
733.00,7.42070389E+1,-3.72515945E+1,
734.00,2.26459625E+2,-1.90061779E+1,
735.00,1.74161453E+2,-1.93518410E+1,
736.00,1.18097496E+2,-3.94542732E+1,
737.00,4.01731262E+1,-4.02128754E+1,
738.00,1.63788940E+2,-2.04802227E+1,
739.00,1.46559967E+2,-4.19786949E+1,
740.00,2.13630310E+2,0.00000000E+0,
741.00,2.61778076E+2,-4.35690880E+1,
742.00,2.00095871E+2,-2.23048134E+1,
743.00,1.13324539E+2,-2.28622990E+1,
744.00,2.79303467E+2,-4.66925697E+1,
745.00,3.08903870E+2,-4.73518410E+1,
746.00,9.66448135E+1,-4.83096733E+1,
747.00,1.72438171E+2,0.00000000E+0,
748.00,2.77988678E+2,-2.53548317E+1,
749.00,3.61130676E+2,0.00000000E+0,
750.00,2.89432556E+2,5.29068565E+1,
751.00,2.42931900E+2,-5.39124146E+1,
752.00,2.76226135E+2,-5.53577499E+1,
753.00,3.36811279E+2,-5.62472382E+1,
754.00,5.75103722E+1,-2.86631508E+1,
755.00,3.24429230E+2,-5.89327087E+1,
756.00,9.02734070E+1,-6.02549324E+1,
757.00,1.22623589E+2,-6.15548553E+1,
758.00,2.19856125E+2,-3.12144909E+1,
759.00,1.60357803E+2,0.00000000E+0,
760.00,2.62036713E+2,-6.58889236E+1,
761.00,3.69738220E+2,-6.71115036E+1,
762.00,2.05799423E+2,-6.87590790E+1,
763.00,1.75137238E+2,-3.52416534E+1,
764.00,2.14271393E+2,0.00000000E+0,
765.00,2.18388718E+2,-7.33021927E+1,
766.00,3.71713531E+2,-7.52316132E+1,
767.00,3.45178070E+2,-7.66099777E+1,
768.00,1.95032547E+2,-7.81758118E+1,
769.00,1.18791473E+2,-7.95392227E+1,
770.00,2.02433655E+2,-8.17645645E+1,
771.00,4.98576691E+2,-8.36405792E+1,
772.00,2.99394623E+2,4.26711655E+1,
773.00,2.16802902E+2,-4.36128044E+1,
774.00,4.43004189E+1,-4.46893654E+1,
775.00,2.72816406E+2,-9.13895645E+1,
776.00,3.72031586E+2,-9.32745590E+1,
777.00,2.36178848E+2,0.00000000E+0,
778.00,0.00000000E+0,-9.75437698E+1,
779.00,1.48319534E+2,1.99272339E+2,
780.00,4.04678955E+2,0.00000000E+0,
781.00,5.17550278E+1,-1.03850197E+2,
782.00,2.10852264E+2,-5.31391258E+1,
783.00,1.62723587E+2,-5.44215431E+1,
784.00,2.77567719E+2,-5.55320778E+1,
785.00,1.70209412E+2,-1.12912857E+2,
786.00,3.47334503E+2,-5.78578300E+1,
787.00,0.00000000E+0,-5.88553619E+1,
788.00,6.01219940E+1,-1.21151611E+2,
789.00,2.46276398E+2,-6.17329178E+1,
790.00,1.89724808E+2,-6.31564980E+1,
791.00,1.93851578E+2,-1.29069321E+2,
792.00,1.31437225E+2,0.00000000E+0,
793.00,2.00633560E+2,-6.69138184E+1,
794.00,1.36966797E+2,-1.36878220E+2,
795.00,3.47431396E+2,-1.40243240E+2,
796.00,2.13667465E+2,-1.42808792E+2,
797.00,-7.23225784E+1,-7.28033295E+1,
798.00,1.48033752E+2,-1.48162766E+2,
