Labels,F4-1500-1550-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,1550.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

614.00,1.27484558E+3,
615.00,1.12077490E+3,
616.00,1.25817578E+3,
617.00,1.44312329E+3,
618.00,1.54733325E+3,
619.00,1.44973267E+3,
620.00,1.65837134E+3,
621.00,1.72337634E+3,
622.00,1.78873267E+3,
623.00,1.86334827E+3,
624.00,2.03213000E+3,
625.00,1.92558936E+3,
626.00,2.05535620E+3,
627.00,2.45792944E+3,
628.00,2.35748267E+3,
629.00,2.54690112E+3,
630.00,2.80045459E+3,
631.00,2.71145898E+3,
632.00,3.01307227E+3,
633.00,3.05635693E+3,
634.00,2.93107935E+3,
635.00,3.20973926E+3,
636.00,3.46367773E+3,
637.00,3.43218945E+3,
638.00,3.41335889E+3,
639.00,3.90617261E+3,
640.00,3.82799194E+3,
641.00,3.91947241E+3,
642.00,4.06587183E+3,
643.00,4.52495410E+3,
644.00,4.33572363E+3,
645.00,4.60975928E+3,
646.00,4.62084814E+3,
647.00,4.80210498E+3,
648.00,4.65510254E+3,
649.00,4.70179150E+3,
650.00,4.95401758E+3,
651.00,5.30492432E+3,
652.00,5.12651758E+3,
653.00,5.50324609E+3,
654.00,5.45411914E+3,
655.00,5.68944775E+3,
656.00,6.23265234E+3,
657.00,5.99361182E+3,
658.00,5.91454346E+3,
659.00,6.38179297E+3,
660.00,6.12633154E+3,
661.00,6.15365576E+3,
662.00,6.25246826E+3,
663.00,6.72646582E+3,
664.00,7.09724951E+3,
665.00,6.70846484E+3,
666.00,6.94457031E+3,
667.00,7.14916162E+3,
668.00,7.04725732E+3,
669.00,7.35457227E+3,
670.00,7.36199414E+3,
671.00,7.39301758E+3,
672.00,7.27423633E+3,
673.00,7.45048096E+3,
674.00,7.36133838E+3,
675.00,7.10346680E+3,
676.00,7.57180273E+3,
677.00,7.85767578E+3,
678.00,8.18016016E+3,
679.00,8.23224805E+3,
680.00,8.66074219E+3,
681.00,8.50893262E+3,
682.00,8.59945703E+3,
683.00,8.54715039E+3,
684.00,8.84074023E+3,
685.00,8.61839941E+3,
686.00,8.61578516E+3,
687.00,8.86729492E+3,
688.00,8.90010547E+3,
689.00,8.84406934E+3,
690.00,8.94315820E+3,
691.00,9.02481641E+3,
692.00,9.13888965E+3,
693.00,9.28410840E+3,
694.00,9.32938867E+3,
695.00,9.44045313E+3,
696.00,9.01463770E+3,
697.00,9.41799609E+3,
698.00,9.41843262E+3,
699.00,8.98532617E+3,
700.00,9.52406348E+3,
701.00,9.46960059E+3,
702.00,9.27648438E+3,
703.00,9.32353613E+3,
704.00,9.34216992E+3,
705.00,9.43858398E+3,
706.00,9.09873145E+3,
707.00,9.56433984E+3,
708.00,9.24157031E+3,
709.00,9.48361914E+3,
710.00,8.77213184E+3,
711.00,8.94299316E+3,
712.00,9.12592285E+3,
713.00,9.16935156E+3,
714.00,8.98970117E+3,
715.00,8.96286914E+3,
716.00,8.98996680E+3,
717.00,9.14246777E+3,
718.00,8.90323926E+3,
719.00,9.36678418E+3,
720.00,9.31291016E+3,
721.00,9.12223242E+3,
722.00,9.24707129E+3,
723.00,9.26795020E+3,
724.00,9.13523340E+3,
725.00,9.10421191E+3,
726.00,9.08871387E+3,
727.00,9.35142090E+3,
728.00,9.06987793E+3,
729.00,9.26549707E+3,
730.00,8.77752344E+3,
731.00,9.12004883E+3,
732.00,8.84563477E+3,
733.00,8.83209375E+3,
734.00,8.81458105E+3,
735.00,9.13352051E+3,
736.00,8.92060742E+3,
737.00,9.16302637E+3,
738.00,8.85771973E+3,
739.00,9.22352441E+3,
740.00,9.07502051E+3,
741.00,9.35915527E+3,
742.00,8.72438574E+3,
743.00,8.93613379E+3,
744.00,9.20189258E+3,
745.00,9.34856055E+3,
746.00,9.02480664E+3,
747.00,9.14545508E+3,
748.00,8.70775879E+3,
749.00,8.73485645E+3,
750.00,8.63321680E+3,
751.00,8.83219043E+3,
752.00,8.69381738E+3,
753.00,8.73775684E+3,
754.00,8.64591211E+3,
755.00,8.60620508E+3,
756.00,8.82979199E+3,
757.00,8.94884863E+3,
758.00,8.95305566E+3,
759.00,9.00481250E+3,
760.00,8.86894141E+3,
761.00,9.07437207E+3,
762.00,8.65028516E+3,
763.00,8.52116309E+3,
764.00,8.28438281E+3,
765.00,8.71502344E+3,
766.00,8.37156738E+3,
767.00,7.93509961E+3,
768.00,8.92137891E+3,
769.00,8.93266602E+3,
770.00,8.84652051E+3,
771.00,9.07578125E+3,
772.00,8.92285840E+3,
773.00,8.82110645E+3,
774.00,9.16915820E+3,
775.00,9.45126074E+3,
776.00,8.74899414E+3,
777.00,8.44885449E+3,
778.00,9.09541504E+3,
779.00,8.87191797E+3,
780.00,8.52763672E+3,
781.00,8.61658789E+3,
782.00,9.01282715E+3,
783.00,8.49117871E+3,
784.00,8.95569141E+3,
785.00,8.68396875E+3,
786.00,9.38426953E+3,
787.00,8.50446191E+3,
788.00,8.07728613E+3,
789.00,7.94562842E+3,
790.00,7.39327539E+3,
791.00,7.92222314E+3,
792.00,9.18252930E+3,
793.00,7.72947852E+3,
794.00,8.50407129E+3,
795.00,8.02927246E+3,
796.00,8.05399121E+3,
797.00,7.50238623E+3,
798.00,7.74716553E+3,
799.00,8.07234863E+3,
800.00,7.82889941E+3,
