Labels,F3-1500-435-EM,
Type,Emission Scan,
Comment,,
Start,690.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,435.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1274.000,1.18044568E+3,
1275.000,1.21141663E+3,
1276.000,1.23443384E+3,
1277.000,1.26763794E+3,
1278.000,1.28104504E+3,
1279.000,1.34380811E+3,
1280.00,1.33765015E+3,
1281.000,1.41393701E+3,
1282.000,1.41292090E+3,
1283.000,1.43728333E+3,
1284.000,1.48329895E+3,
1285.000,1.47965857E+3,
1286.000,1.54209412E+3,
1287.000,1.56662097E+3,
1288.000,1.62097217E+3,
1289.000,1.61112476E+3,
1290.00,1.64796130E+3,
1291.000,1.74159802E+3,
1292.000,1.75343018E+3,
1293.000,1.85330713E+3,
1294.000,1.81172485E+3,
1295.000,1.88861926E+3,
1296.000,1.84149609E+3,
1297.000,1.98841016E+3,
1298.000,1.98978516E+3,
1299.000,2.07600659E+3,
1300.00,2.07897656E+3,
1301.000,2.09827734E+3,
1302.000,2.22018970E+3,
1303.000,2.26622510E+3,
1304.000,2.26334473E+3,
1305.000,2.32204443E+3,
1306.000,2.28041284E+3,
1307.000,2.38289844E+3,
1308.000,2.47296777E+3,
1309.000,2.52573950E+3,
1310.00,2.55551172E+3,
1311.000,2.63589819E+3,
1312.000,2.61731250E+3,
1313.000,2.68447437E+3,
1314.000,2.75861646E+3,
1315.000,2.88724316E+3,
1316.000,2.83549292E+3,
1317.000,2.87373462E+3,
1318.000,3.01198438E+3,
1319.000,3.08401318E+3,
1320.00,3.14996387E+3,
1321.000,3.18164795E+3,
1322.000,3.25061255E+3,
1323.000,3.29851099E+3,
1324.000,3.37755273E+3,
1325.000,3.37932544E+3,
1326.000,3.58301929E+3,
1327.000,3.55022021E+3,
1328.000,3.68136841E+3,
1329.000,3.67688794E+3,
1330.00,3.78179663E+3,
1331.000,3.88441455E+3,
1332.000,3.90322485E+3,
1333.000,4.03211597E+3,
1334.000,4.08477100E+3,
1335.000,4.14387256E+3,
1336.000,4.18722412E+3,
1337.000,4.25547705E+3,
1338.000,4.36199609E+3,
1339.000,4.40476318E+3,
1340.00,4.53299951E+3,
1341.000,4.56467920E+3,
1342.000,4.60644678E+3,
1343.000,4.77356787E+3,
1344.000,4.77599414E+3,
1345.000,4.98720117E+3,
1346.000,5.03690576E+3,
1347.000,5.08874805E+3,
1348.000,5.25626416E+3,
1349.000,5.32338867E+3,
1350.00,5.32941797E+3,
1351.000,5.43602637E+3,
1352.000,5.53554053E+3,
1353.000,5.54477686E+3,
1354.000,5.78807373E+3,
1355.000,5.91666406E+3,
1356.000,6.07032568E+3,
1357.000,6.04577686E+3,
1358.000,6.14801416E+3,
1359.000,6.34562793E+3,
1360.00,6.44414795E+3,
1361.000,6.44535010E+3,
1362.000,6.79939404E+3,
1363.000,6.71989795E+3,
1364.000,6.83151660E+3,
1365.000,7.08388770E+3,
1366.000,6.99058203E+3,
1367.000,7.00247412E+3,
1368.000,7.30686182E+3,
1369.000,7.46368213E+3,
1370.00,7.45002100E+3,
1371.000,7.50654346E+3,
1372.000,7.57588672E+3,
1373.000,7.65222559E+3,
1374.000,7.78824951E+3,
1375.000,7.78579395E+3,
1376.000,8.00947021E+3,
1377.000,8.10558252E+3,
1378.000,8.35422754E+3,
1379.000,8.31970020E+3,
1380.00,8.64631738E+3,
1381.000,8.77981152E+3,
1382.000,8.80525293E+3,
1383.000,9.09349414E+3,
1384.000,9.15573535E+3,
1385.000,9.06531641E+3,
1386.000,9.14786230E+3,
1387.000,9.29317676E+3,
1388.000,9.47327148E+3,
1389.000,9.47679395E+3,
1390.00,9.54889355E+3,
1391.000,9.67257813E+3,
1392.000,1.00164189E+4,
1393.000,9.97425488E+3,
1394.000,1.00779590E+4,
1395.000,1.04740400E+4,
1396.000,1.04732275E+4,
1397.000,1.04498271E+4,
1398.000,1.03871035E+4,
1399.000,1.09227607E+4,
1400.00,1.09785156E+4,
1401.000,1.11235352E+4,
1402.000,1.12906465E+4,
1403.000,1.09753633E+4,
1404.000,1.13922295E+4,
1405.000,1.15434248E+4,
1406.000,1.16079180E+4,
1407.000,1.17605215E+4,
1408.000,1.19774902E+4,
1409.000,1.21705625E+4,
1410.00,1.22288867E+4,
1411.000,1.22458711E+4,
1412.000,1.23608223E+4,
1413.000,1.24938115E+4,
1414.000,1.26673018E+4,
1415.000,1.27030488E+4,
1416.000,1.27706602E+4,
1417.000,1.28249580E+4,
1418.000,1.31330654E+4,
1419.000,1.33599346E+4,
1420.00,1.35156309E+4,
1421.000,1.35896797E+4,
1422.000,1.36019736E+4,
1423.000,1.37428496E+4,
1424.000,1.39399980E+4,
1425.000,1.38705283E+4,
1426.000,1.41441426E+4,
1427.000,1.43254707E+4,
1428.000,1.41680244E+4,
1429.000,1.44015537E+4,
1430.00,1.47137754E+4,
1431.000,1.48847725E+4,
1432.000,1.49380215E+4,
1433.000,1.48928750E+4,
1434.000,1.51519668E+4,
1435.000,1.54154551E+4,
1436.000,1.52629248E+4,
1437.000,1.55418857E+4,
1438.000,1.57121846E+4,
1439.000,1.57257930E+4,
1440.00,1.58081602E+4,
1441.000,1.60730957E+4,
1442.000,1.63018828E+4,
1443.000,1.62995723E+4,
1444.000,1.64296055E+4,
1445.000,1.65180879E+4,
1446.000,1.67520332E+4,
1447.000,1.67076426E+4,
1448.000,1.68847715E+4,
1449.000,1.69735078E+4,
1450.00,1.71222813E+4,
1451.000,1.74628691E+4,
1452.000,1.74398789E+4,
1453.000,1.74162188E+4,
1454.000,1.76655723E+4,
1455.000,1.76227031E+4,
1456.000,1.77891113E+4,
1457.000,1.80002168E+4,
1458.000,1.79396777E+4,
1459.000,1.81680508E+4,
1460.00,1.80684082E+4,
1461.000,1.84013535E+4,
1462.000,1.82817715E+4,
1463.000,1.86539980E+4,
1464.000,1.86128203E+4,
1465.000,1.87958848E+4,
1466.000,1.86379063E+4,
1467.000,1.89810371E+4,
1468.000,1.89641016E+4,
1469.000,1.91213574E+4,
1470.00,1.92605000E+4,
1471.000,1.95716777E+4,
1472.000,1.95333203E+4,
1473.000,1.96110898E+4,
1474.000,1.96930293E+4,
1475.000,1.98506523E+4,
1476.000,1.99046387E+4,
1477.000,2.01242676E+4,
1478.000,2.01234219E+4,
1479.000,2.02159570E+4,
1480.00,2.01923301E+4,
1481.000,2.04586074E+4,
1482.000,2.03969844E+4,
1483.000,2.03710078E+4,
1484.000,2.04963535E+4,
1485.000,2.05403750E+4,
1486.000,2.06168711E+4,
1487.000,2.07894922E+4,
1488.000,2.08505273E+4,
1489.000,2.08039863E+4,
1490.00,2.11042148E+4,
1491.000,2.12134961E+4,
1492.000,2.11838086E+4,
1493.000,2.13491348E+4,
1494.000,2.13838945E+4,
1495.000,2.13389121E+4,
1496.000,2.12437559E+4,
1497.000,2.15449688E+4,
1498.000,2.15043027E+4,
1499.000,2.14093203E+4,
1500.00,2.17162930E+4,
1501.000,2.15863223E+4,
1502.000,2.16293887E+4,
1503.000,2.17765273E+4,
1504.000,2.17945742E+4,
1505.000,2.17602324E+4,
1506.000,2.18779883E+4,
1507.000,2.21628809E+4,
1508.000,2.20451094E+4,
1509.000,2.18236367E+4,
1510.00,2.21782695E+4,
1511.000,2.21919629E+4,
1512.000,2.23926094E+4,
1513.000,2.20638887E+4,
1514.000,2.22576719E+4,
1515.000,2.25256660E+4,
1516.000,2.23098320E+4,
1517.000,2.24920859E+4,
1518.000,2.23767031E+4,
1519.000,2.25345762E+4,
1520.00,2.26384141E+4,
1521.000,2.27306250E+4,
1522.000,2.27557344E+4,
1523.000,2.27097637E+4,
1524.000,2.27332676E+4,
1525.000,2.25291523E+4,
1526.000,2.27995410E+4,
1527.000,2.27879805E+4,
1528.000,2.29223945E+4,
1529.000,2.28108438E+4,
1530.00,2.28427246E+4,
1531.000,2.30264023E+4,
1532.000,2.28977012E+4,
1533.000,2.28693574E+4,
1534.000,2.27050215E+4,
1535.000,2.29036113E+4,
1536.000,2.31505957E+4,
1537.000,2.29885645E+4,
1538.000,2.31379785E+4,
1539.000,2.30018984E+4,
1540.00,2.28475996E+4,
1541.000,2.26222188E+4,
1542.000,2.28982188E+4,
1543.000,2.26226309E+4,
1544.000,2.26869590E+4,
1545.000,2.29852793E+4,
1546.000,2.28712539E+4,
1547.000,2.26488867E+4,
1548.000,2.27428926E+4,
1549.000,2.27709551E+4,
1550.00,2.27925273E+4,
1551.000,2.26189668E+4,
1552.000,2.28165645E+4,
1553.000,2.25900840E+4,
1554.000,2.27721992E+4,
1555.000,2.28187813E+4,
1556.000,2.27285898E+4,
1557.000,2.24789609E+4,
1558.000,2.26914570E+4,
1559.000,2.24884121E+4,
1560.00,2.25544629E+4,
1561.000,2.26819219E+4,
1562.000,2.25102949E+4,
1563.000,2.24785371E+4,
1564.000,2.20470566E+4,
1565.000,2.26409707E+4,
1566.000,2.22914707E+4,
1567.000,2.24288652E+4,
1568.000,2.22262500E+4,
1569.000,2.23334414E+4,
1570.00,2.19554629E+4,
1571.000,2.24268281E+4,
1572.000,2.21001465E+4,
1573.000,2.21925313E+4,
1574.000,2.25568027E+4,
1575.000,2.22532930E+4,
1576.000,2.20609746E+4,
1577.000,2.22099980E+4,
1578.000,2.21915117E+4,
1579.000,2.19758613E+4,
1580.00,2.20572754E+4,
1581.000,2.18978652E+4,
1582.000,2.17333770E+4,
1583.000,2.16624531E+4,
1584.000,2.14272773E+4,
1585.000,2.17354609E+4,
1586.000,2.16278125E+4,
1587.000,2.16685781E+4,
1588.000,2.16942754E+4,
1589.000,2.17646348E+4,
1590.00,2.16819375E+4,
1591.000,2.16708262E+4,
1592.000,2.14013223E+4,
