Labels,F3-1500-810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

683.00,3.25192993E+3,
684.00,2.25463306E+3,
685.00,2.16028027E+3,
686.00,2.42000879E+3,
687.00,2.76636011E+3,
688.00,2.69551563E+3,
689.00,2.34090381E+3,
690.00,1.77498315E+3,
691.00,2.38029541E+3,
692.00,2.54158130E+3,
693.00,2.05616504E+3,
694.00,2.37145361E+3,
695.00,2.05848145E+3,
696.00,1.61894629E+3,
697.00,1.79232031E+3,
698.00,1.85971008E+3,
699.00,2.19523511E+3,
700.00,2.71554517E+3,
701.00,2.16305566E+3,
702.00,2.28784619E+3,
703.00,1.39798682E+3,
704.00,1.74507361E+3,
705.00,1.41018689E+3,
706.00,1.74610327E+3,
707.00,1.61659436E+3,
708.00,1.28035120E+3,
709.00,1.21422998E+3,
710.00,2.22733740E+3,
711.00,1.31668628E+3,
712.00,1.79228369E+3,
713.00,1.55547473E+3,
714.00,1.60700452E+3,
715.00,1.55528223E+3,
716.00,1.33089648E+3,
717.00,3.22020447E+2,
718.00,1.37823804E+3,
719.00,1.71181323E+3,
720.00,1.50842407E+3,
721.00,1.68425061E+3,
722.00,1.20906555E+3,
723.00,1.27962756E+3,
724.00,1.34115613E+3,
725.00,1.59349963E+3,
726.00,1.61972888E+3,
727.00,1.10610938E+3,
728.00,1.10289136E+3,
729.00,6.95363281E+2,
730.00,1.26783789E+3,
731.00,1.42111804E+3,
732.00,1.03129370E+3,
733.00,1.29443555E+3,
734.00,1.84591284E+3,
735.00,5.35814087E+2,
736.00,4.80558716E+2,
737.00,7.63899414E+2,
738.00,1.58738062E+3,
739.00,-3.63491943E+2,
740.00,1.19750134E+3,
741.00,1.08584082E+3,
742.00,7.87260376E+2,
743.00,5.35705261E+2,
744.00,1.18166394E+3,
745.00,1.30062830E+3,
746.00,1.23148315E+3,
747.00,6.43983887E+2,
748.00,5.96359375E+2,
749.00,8.55281738E+2,
750.00,7.71668213E+2,
751.00,1.36378748E+3,
752.00,1.91692969E+3,
753.00,1.57549548E+3,
754.00,1.95506433E+3,
755.00,5.51398193E+2,
756.00,1.10511267E+3,
757.00,2.43710571E+2,
758.00,1.64137561E+3,
759.00,1.86089221E+3,
760.00,1.41029068E+2,
761.00,1.32573926E+3,
762.00,4.67957306E+2,
763.00,7.47594238E+2,
764.00,2.18462387E+2,
765.00,8.06254578E+2,
766.00,1.23918152E+3,
767.00,7.28614014E+2,
768.00,1.65000623E+3,
769.00,1.36654675E+3,
770.00,1.11522498E+3,
771.00,1.35541772E+3,
772.00,2.11305634E+2,
773.00,1.65782837E+3,
774.00,1.52696631E+3,
775.00,2.37158301E+3,
776.00,1.53471069E+3,
777.00,7.76118652E+2,
778.00,8.68336182E+2,
779.00,2.24579053E+3,
780.00,2.18465332E+3,
