Labels,F2-1500-410-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1112.000,1.27501671E+2,
1113.000,1.48163071E+2,
1114.000,1.56895645E+2,
1115.000,1.48364990E+2,
1116.000,1.47853485E+2,
1117.000,9.52499466E+1,
1118.000,1.77088974E+2,
1119.000,1.08857582E+2,
1120.00,1.31537689E+2,
1121.000,1.92004257E+2,
1122.000,1.68966400E+2,
1123.000,1.69316345E+2,
1124.000,1.55453323E+2,
1125.000,1.69976059E+2,
1126.000,2.33611755E+2,
1127.000,2.01420883E+2,
1128.000,1.66299622E+2,
1129.000,1.82409805E+2,
1130.00,1.39302597E+2,
1131.000,2.19373947E+2,
1132.000,2.06770493E+2,
1133.000,1.89585556E+2,
1134.000,1.76217377E+2,
1135.000,1.84540207E+2,
1136.000,2.50686172E+2,
1137.000,2.47650284E+2,
1138.000,2.26887070E+2,
1139.000,2.56337402E+2,
1140.00,2.53969070E+2,
1141.000,2.41945328E+2,
1142.000,2.36511124E+2,
1143.000,2.20204941E+2,
1144.000,2.52630035E+2,
1145.000,2.74850403E+2,
1146.000,3.20017151E+2,
1147.000,2.72473511E+2,
1148.000,3.22879242E+2,
1149.000,3.15793823E+2,
1150.00,2.75788147E+2,
1151.000,3.35896210E+2,
1152.000,3.60214600E+2,
1153.000,3.25031219E+2,
1154.000,3.05774231E+2,
1155.000,3.48516815E+2,
1156.000,3.20777008E+2,
1157.000,3.26315460E+2,
1158.000,3.15367401E+2,
1159.000,3.71111115E+2,
1160.00,3.32305359E+2,
1161.000,3.84622772E+2,
1162.000,3.84821747E+2,
1163.000,3.86982452E+2,
1164.000,4.09016266E+2,
1165.000,4.03682190E+2,
1166.000,4.22837891E+2,
1167.000,3.89553101E+2,
1168.000,4.72327362E+2,
1169.000,4.45070770E+2,
1170.00,4.26415436E+2,
1171.000,4.57686981E+2,
1172.000,4.93696991E+2,
1173.000,4.70048187E+2,
1174.000,5.19515625E+2,
1175.000,4.89394592E+2,
1176.000,5.09593018E+2,
1177.000,4.87138977E+2,
1178.000,5.43843994E+2,
1179.000,5.71544128E+2,
1180.00,5.70699829E+2,
1181.000,5.60127686E+2,
1182.000,5.92718079E+2,
1183.000,6.07169678E+2,
1184.000,6.24584717E+2,
1185.000,6.53146240E+2,
1186.000,6.03675415E+2,
1187.000,6.57520569E+2,
1188.000,6.40583374E+2,
1189.000,6.55579041E+2,
1190.00,6.84791626E+2,
1191.000,6.98083130E+2,
1192.000,7.04429932E+2,
1193.000,7.09263367E+2,
1194.000,6.92078369E+2,
1195.000,7.40437561E+2,
1196.000,7.57671692E+2,
1197.000,7.54897705E+2,
1198.000,7.94909607E+2,
1199.000,7.96400024E+2,
1200.00,7.85833618E+2,
1201.000,8.42717468E+2,
1202.000,8.78255615E+2,
1203.000,8.86530518E+2,
1204.000,8.46765076E+2,
1205.000,8.91950562E+2,
1206.000,9.41025085E+2,
1207.000,9.47018066E+2,
1208.000,9.65599548E+2,
1209.000,1.01132330E+3,
1210.00,9.87903931E+2,
1211.000,1.00633801E+3,
1212.000,1.00936493E+3,
1213.000,1.05242371E+3,
1214.000,1.08428210E+3,
1215.000,1.00887756E+3,
1216.000,1.09782129E+3,
1217.000,1.11937781E+3,
1218.000,1.15345117E+3,
1219.000,1.18487195E+3,
1220.00,1.19246130E+3,
1221.000,1.24544666E+3,
1222.000,1.20634033E+3,
1223.000,1.24195789E+3,
1224.000,1.27291943E+3,
1225.000,1.30006885E+3,
1226.000,1.33035461E+3,
1227.000,1.31364380E+3,
1228.000,1.38359570E+3,
1229.000,1.35523889E+3,
1230.00,1.48932324E+3,
1231.000,1.44312927E+3,
1232.000,1.50355640E+3,
1233.000,1.49564893E+3,
1234.000,1.52681519E+3,
1235.000,1.57105994E+3,
1236.000,1.53451074E+3,
1237.000,1.68913745E+3,
1238.000,1.62464478E+3,
1239.000,1.66831958E+3,
1240.00,1.67146411E+3,
1241.000,1.71366650E+3,
1242.000,1.71647864E+3,
1243.000,1.77431482E+3,
1244.000,1.80122876E+3,
1245.000,1.77890125E+3,
1246.000,1.91654688E+3,
1247.000,1.85095837E+3,
1248.000,1.90418311E+3,
1249.000,2.00445374E+3,
1250.00,2.05610620E+3,
1251.000,2.10473535E+3,
1252.000,2.03192651E+3,
1253.000,2.06068701E+3,
1254.000,2.11544360E+3,
1255.000,2.10536670E+3,
1256.000,2.18862524E+3,
1257.000,2.13827466E+3,
1258.000,2.22465527E+3,
1259.000,2.26467749E+3,
1260.00,2.34031274E+3,
1261.000,2.28943945E+3,
1262.000,2.35553442E+3,
1263.000,2.39796973E+3,
1264.000,2.46577856E+3,
1265.000,2.47412646E+3,
1266.000,2.49384717E+3,
1267.000,2.56052271E+3,
1268.000,2.58892847E+3,
1269.000,2.64898608E+3,
1270.00,2.68880835E+3,
1271.000,2.70739478E+3,
1272.000,2.78530420E+3,
1273.000,2.84383032E+3,
1274.000,2.85959521E+3,
1275.000,2.88513135E+3,
1276.000,3.00928906E+3,
1277.000,3.00179346E+3,
1278.000,2.99307666E+3,
1279.000,3.09046509E+3,
1280.00,3.17809595E+3,
1281.000,3.16537695E+3,
1282.000,3.29070654E+3,
1283.000,3.30084644E+3,
1284.000,3.32462109E+3,
1285.000,3.42798779E+3,
1286.000,3.46755518E+3,
1287.000,3.54884912E+3,
1288.000,3.68907056E+3,
1289.000,3.68988623E+3,
1290.00,3.68409204E+3,
1291.000,3.78927954E+3,
1292.000,3.83648389E+3,
1293.000,3.87460034E+3,
1294.000,3.88613501E+3,
1295.000,3.96738306E+3,
1296.000,4.14391309E+3,
1297.000,4.09191113E+3,
1298.000,4.22755371E+3,
1299.000,4.33376563E+3,
1300.00,4.37816992E+3,
1301.000,4.44562939E+3,
1302.000,4.50462939E+3,
1303.000,4.52422168E+3,
1304.000,4.57253857E+3,
1305.000,4.74165088E+3,
1306.000,4.74590137E+3,
1307.000,4.80618750E+3,
1308.000,4.95558301E+3,
1309.000,5.09974170E+3,
1310.00,5.13734326E+3,
1311.000,5.15838477E+3,
1312.000,5.19649414E+3,
1313.000,5.45246045E+3,
1314.000,5.34794727E+3,
1315.000,5.48217432E+3,
1316.000,5.54302979E+3,
1317.000,5.69037842E+3,
1318.000,5.69865771E+3,
1319.000,5.83344287E+3,
1320.00,5.85192480E+3,
1321.000,5.91412402E+3,
1322.000,6.01368604E+3,
1323.000,6.09708496E+3,
1324.000,6.28132373E+3,
1325.000,6.36730908E+3,
1326.000,6.23534814E+3,
1327.000,6.54067432E+3,
1328.000,6.57472070E+3,
1329.000,6.68015479E+3,
1330.00,6.86219434E+3,
1331.000,6.92562402E+3,
1332.000,6.84302979E+3,
1333.000,7.02943115E+3,
1334.000,7.13383057E+3,
1335.000,7.29816260E+3,
1336.000,7.32839697E+3,
1337.000,7.39426172E+3,
1338.000,7.41479736E+3,
1339.000,7.60050488E+3,
1340.00,7.61705029E+3,
1341.000,7.78910107E+3,
1342.000,7.83700391E+3,
1343.000,8.00300439E+3,
1344.000,8.10979004E+3,
1345.000,8.12204443E+3,
1346.000,8.25565430E+3,
1347.000,8.32180566E+3,
1348.000,8.59196875E+3,
1349.000,8.62888379E+3,
1350.00,8.74724121E+3,
1351.000,8.81722461E+3,
1352.000,8.88563477E+3,
1353.000,9.02349219E+3,
1354.000,9.25980664E+3,
1355.000,9.47154590E+3,
1356.000,9.38766211E+3,
1357.000,9.51103613E+3,
1358.000,9.61556934E+3,
1359.000,9.65370996E+3,
1360.00,9.87211621E+3,
1361.000,9.99705664E+3,
1362.000,1.03367822E+4,
1363.000,1.00486152E+4,
1364.000,1.00495400E+4,
1365.000,1.05834170E+4,
1366.000,1.03806582E+4,
1367.000,1.03764609E+4,
1368.000,1.08539785E+4,
1369.000,1.07516738E+4,
1370.00,1.06462900E+4,
1371.000,1.08498506E+4,
1372.000,1.11604238E+4,
1373.000,1.09799795E+4,
1374.000,1.10515986E+4,
1375.000,1.10576035E+4,
1376.000,1.13169805E+4,
1377.000,1.13120527E+4,
1378.000,1.14918877E+4,
1379.000,1.17245313E+4,
1380.00,1.18894453E+4,
1381.000,1.20664785E+4,
1382.000,1.21362617E+4,
1383.000,1.23357266E+4,
1384.000,1.21156318E+4,
1385.000,1.21018164E+4,
1386.000,1.22471494E+4,
1387.000,1.20758447E+4,
1388.000,1.23615342E+4,
1389.000,1.24523965E+4,
1390.00,1.25110703E+4,
1391.000,1.28867295E+4,
1392.000,1.29108887E+4,
1393.000,1.28860713E+4,
1394.000,1.26984834E+4,
1395.000,1.33547725E+4,
1396.000,1.34916064E+4,
1397.000,1.31595664E+4,
1398.000,1.29947354E+4,
1399.000,1.33747012E+4,
1400.00,1.37939590E+4,
1401.000,1.37835420E+4,
1402.000,1.34665527E+4,
1403.000,1.36117949E+4,
1404.000,1.40321602E+4,
1405.000,1.41726035E+4,
1406.000,1.40441982E+4,
1407.000,1.41724238E+4,
1408.000,1.44130596E+4,
1409.000,1.42731680E+4,
1410.00,1.47057949E+4,
1411.000,1.44313281E+4,
1412.000,1.45399590E+4,
1413.000,1.46349385E+4,
1414.000,1.47736650E+4,
1415.000,1.48895703E+4,
1416.000,1.47473838E+4,
1417.000,1.48340547E+4,
1418.000,1.48177412E+4,
1419.000,1.51913477E+4,
1420.00,1.51187363E+4,
1421.000,1.53969082E+4,
1422.000,1.52129648E+4,
1423.000,1.55188770E+4,
1424.000,1.53460420E+4,
1425.000,1.55653594E+4,
1426.000,1.55676279E+4,
1427.000,1.54596250E+4,
1428.000,1.58344385E+4,
1429.000,1.56303027E+4,
1430.00,1.59887461E+4,
1431.000,1.59654473E+4,
1432.000,1.63343320E+4,
1433.000,1.62127002E+4,
1434.000,1.61599434E+4,
1435.000,1.62495078E+4,
1436.000,1.64067188E+4,
1437.000,1.63369111E+4,
1438.000,1.64699258E+4,
1439.000,1.65417012E+4,
1440.00,1.65076016E+4,
1441.000,1.66745527E+4,
1442.000,1.66033086E+4,
1443.000,1.65894395E+4,
1444.000,1.66576465E+4,
1445.000,1.66979414E+4,
1446.000,1.68744102E+4,
1447.000,1.67899414E+4,
1448.000,1.68138477E+4,
1449.000,1.69472754E+4,
1450.00,1.70560625E+4,
1451.000,1.69050977E+4,
1452.000,1.70378535E+4,
1453.000,1.70623223E+4,
1454.000,1.71767793E+4,
1455.000,1.71356504E+4,
1456.000,1.73290117E+4,
1457.000,1.72370820E+4,
1458.000,1.73202734E+4,
1459.000,1.71967715E+4,
1460.00,1.73426758E+4,
1461.000,1.73296133E+4,
1462.000,1.72939766E+4,
1463.000,1.71791328E+4,
1464.000,1.75197852E+4,
1465.000,1.73978125E+4,
1466.000,1.75883828E+4,
1467.000,1.74666895E+4,
1468.000,1.74470313E+4,
1469.000,1.75093750E+4,
1470.00,1.77465723E+4,
1471.000,1.76815859E+4,
1472.000,1.75575254E+4,
1473.000,1.74138633E+4,
1474.000,1.77957188E+4,
1475.000,1.76717402E+4,
1476.000,1.77026738E+4,
1477.000,1.76159863E+4,
1478.000,1.78802676E+4,
1479.000,1.77412871E+4,
1480.00,1.77253652E+4,
1481.000,1.76781230E+4,
1482.000,1.76868633E+4,
1483.000,1.75513730E+4,
1484.000,1.75779648E+4,
1485.000,1.77805059E+4,
1486.000,1.76690801E+4,
1487.000,1.76724238E+4,
1488.000,1.76179766E+4,
1489.000,1.76662813E+4,
1490.00,1.77717207E+4,
1491.000,1.75658906E+4,
1492.000,1.77023398E+4,
1493.000,1.76074883E+4,
1494.000,1.76485313E+4,
1495.000,1.76882422E+4,
1496.000,1.77082305E+4,
1497.000,1.77351504E+4,
1498.000,1.77895293E+4,
1499.000,1.74033379E+4,
1500.00,1.75106875E+4,
1501.000,1.75780469E+4,
