0.002cr-fitted-136.66%
  QY = 136.66%
Labels,EmScan16,kongbai,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

692.00,4.71810570E+1,0.00000000E+0,
693.00,3.82596474E+1,-1.91848621E+1,
694.00,2.92427273E+1,-1.93893757E+1,
695.00,5.86368523E+1,-1.95850410E+1,
696.00,4.93943672E+1,-1.98847580E+1,
697.00,9.02017365E+1,-2.01386299E+1,
698.00,6.10212822E+1,-2.03424187E+1,
699.00,1.13257767E+2,-1.03388882E+1,
700.00,9.38377075E+1,-2.09333172E+1,
701.00,7.42774048E+1,-1.06330347E+1,
702.00,6.44536591E+1,-1.08143034E+1,
703.00,6.52490997E+1,-1.08983507E+1,
704.00,8.84866486E+1,0.00000000E+0,
705.00,8.97196655E+1,-2.25355434E+1,
706.00,1.81236847E+2,-2.28189163E+1,
707.00,1.15605270E+2,-2.31958294E+1,
708.00,7.08544922E+1,-2.35942917E+1,
709.00,1.07270683E+2,-1.19748039E+1,
710.00,7.27770309E+1,-1.21861477E+1,
711.00,6.17441483E+1,-2.48080044E+1,
712.00,3.76298561E+1,-1.25587416E+1,
713.00,1.14643990E+2,-1.27989140E+1,
714.00,1.03778473E+2,0.00000000E+0,
715.00,9.23771667E+1,-2.63780098E+1,
716.00,6.70319214E+1,-2.68927631E+1,
717.00,1.36850403E+2,-2.74124241E+1,
718.00,1.81344269E+2,1.39573441E+1,
719.00,1.42646118E+2,-2.84609756E+1,
720.00,1.01139900E+2,-1.44787092E+1,
721.00,8.80733032E+1,-2.93629246E+1,
722.00,1.19576553E+2,-1.50017900E+1,
723.00,1.52891006E+2,-1.53076830E+1,
724.00,1.09094734E+2,-1.55579996E+1,
725.00,1.10925522E+2,-1.58398485E+1,
726.00,1.60705582E+2,0.00000000E+0,
727.00,1.48572693E+2,-3.29551010E+1,
728.00,1.01087013E+2,-3.35674973E+1,
729.00,6.82075806E+1,-3.42815704E+1,
730.00,1.74646683E+2,-1.73826199E+1,
731.00,1.42723053E+2,-3.55938492E+1,
732.00,5.44379387E+1,1.82186260E+1,
733.00,1.48006897E+2,-3.72515945E+1,
734.00,1.70880829E+2,-1.90061779E+1,
735.00,1.54028320E+2,-1.93518410E+1,
736.00,9.82635574E+1,-3.94542732E+1,
737.00,2.21522369E+2,-4.02128754E+1,
738.00,1.84204956E+2,-2.04802227E+1,
739.00,2.28168076E+2,-4.19786949E+1,
740.00,1.91616135E+2,0.00000000E+0,
741.00,1.73958160E+2,-4.35690880E+1,
742.00,1.34136642E+2,-2.23048134E+1,
743.00,9.09533310E+1,-2.28622990E+1,
744.00,1.39114044E+2,-4.66925697E+1,
745.00,7.14965668E+1,-4.73518410E+1,
746.00,1.68803726E+2,-4.83096733E+1,
747.00,2.22399811E+2,0.00000000E+0,
748.00,4.29391937E+2,-2.53548317E+1,
749.00,2.06184906E+2,0.00000000E+0,
750.00,1.84776520E+2,5.29068565E+1,
751.00,1.87821320E+2,-5.39124146E+1,
752.00,1.37654800E+2,-5.53577499E+1,
753.00,1.12634407E+2,-5.62472382E+1,
754.00,1.71866547E+2,-2.86631508E+1,
755.00,1.47187347E+2,-5.89327087E+1,
756.00,2.70448975E+2,-6.02549324E+1,
757.00,1.83290436E+2,-6.15548553E+1,
758.00,2.81640472E+2,-3.12144909E+1,
759.00,6.40030060E+1,0.00000000E+0,
760.00,2.29806519E+2,-6.58889236E+1,
761.00,1.00892975E+2,-6.71115036E+1,
762.00,1.02769127E+2,-6.87590790E+1,
763.00,3.50017944E+2,-3.52416534E+1,
764.00,2.85505798E+2,0.00000000E+0,
765.00,1.09375374E+2,-7.33021927E+1,
766.00,2.24657944E+2,-7.52316132E+1,
767.00,3.81002899E+2,-7.66099777E+1,
768.00,3.11832581E+2,-7.81758118E+1,
769.00,2.39457108E+2,-7.95392227E+1,
770.00,2.03419708E+2,-8.17645645E+1,
771.00,4.58381683E+2,-8.36405792E+1,
772.00,2.96518188E+2,4.26711655E+1,
773.00,1.73411865E+2,-4.36128044E+1,
774.00,2.66670563E+2,-4.46893654E+1,
775.00,9.07913132E+1,-9.13895645E+1,
776.00,1.85597870E+2,-9.32745590E+1,
777.00,2.83909271E+2,0.00000000E+0,
778.00,2.89941101E+2,-9.75437698E+1,
779.00,9.93090210E+1,1.99272339E+2,
780.00,1.51854004E+2,0.00000000E+0,
781.00,5.19042244E+1,-1.03850197E+2,
