Labels,800-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,800.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

626.00,2.73544023E+4,
627.00,2.73820566E+4,
628.00,2.74805156E+4,
629.00,2.75075996E+4,
630.00,2.81858047E+4,
631.00,2.77332422E+4,
632.00,2.69239746E+4,
633.00,2.74547246E+4,
634.00,2.69929102E+4,
635.00,2.73042383E+4,
636.00,2.68129727E+4,
637.00,2.57179629E+4,
638.00,2.74950664E+4,
639.00,2.60794707E+4,
640.00,2.67531895E+4,
641.00,2.57736055E+4,
642.00,2.42178047E+4,
643.00,2.64080430E+4,
644.00,2.57407441E+4,
645.00,2.46327031E+4,
646.00,2.48215020E+4,
647.00,2.41466934E+4,
648.00,2.40662285E+4,
649.00,2.32504688E+4,
650.00,2.38017344E+4,
651.00,2.27848203E+4,
652.00,2.32932871E+4,
653.00,2.25667539E+4,
654.00,2.23785410E+4,
655.00,2.21148262E+4,
656.00,2.31419473E+4,
657.00,2.10118945E+4,
658.00,2.09157441E+4,
659.00,2.14646680E+4,
660.00,2.02433223E+4,
661.00,1.94245605E+4,
662.00,1.86919824E+4,
663.00,1.81969297E+4,
664.00,1.91052539E+4,
665.00,1.88722734E+4,
666.00,1.72860840E+4,
667.00,1.76709277E+4,
668.00,1.74913438E+4,
669.00,1.59550703E+4,
670.00,1.66840684E+4,
671.00,1.53333379E+4,
672.00,1.49388477E+4,
673.00,1.55809736E+4,
674.00,1.60866348E+4,
675.00,1.54131816E+4,
676.00,1.50518535E+4,
677.00,1.42574990E+4,
678.00,1.44371445E+4,
679.00,1.41030723E+4,
680.00,1.35186318E+4,
681.00,1.27777158E+4,
682.00,1.33513359E+4,
683.00,1.28826855E+4,
684.00,1.26088203E+4,
685.00,1.21182627E+4,
686.00,1.23784658E+4,
687.00,1.12683438E+4,
688.00,1.02056084E+4,
689.00,1.08487373E+4,
690.00,1.10547305E+4,
691.00,9.76173828E+3,
692.00,9.90120410E+3,
693.00,9.94588477E+3,
694.00,9.52849316E+3,
695.00,9.44518164E+3,
696.00,1.06991602E+4,
697.00,1.03559756E+4,
698.00,9.22443555E+3,
699.00,9.09585645E+3,
700.00,8.01463574E+3,
701.00,8.51334277E+3,
702.00,7.48182324E+3,
703.00,7.97784619E+3,
704.00,7.21314014E+3,
705.00,7.68876807E+3,
706.00,7.34403516E+3,
707.00,6.94656836E+3,
708.00,7.20987207E+3,
709.00,6.93999512E+3,
710.00,5.89807617E+3,
711.00,6.60303125E+3,
712.00,6.11908838E+3,
713.00,6.27832520E+3,
714.00,5.38848535E+3,
715.00,5.73479834E+3,
716.00,5.81635791E+3,
717.00,5.28339404E+3,
718.00,4.53188428E+3,
719.00,5.56262451E+3,
720.00,4.71135205E+3,
721.00,5.18437354E+3,
722.00,5.31917041E+3,
723.00,4.42609229E+3,
724.00,4.71039551E+3,
725.00,3.38436646E+3,
726.00,3.20196851E+3,
727.00,2.76968848E+3,
728.00,4.62554883E+3,
729.00,3.21609961E+3,
730.00,3.73128955E+3,
731.00,3.65315527E+3,
732.00,3.80438940E+3,
