Labels,1530-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,1000.00,
Step,1.00,
Fixed/Offset,1530.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

633.00,1.97733887E+4,
634.00,2.00960430E+4,
635.00,1.99382051E+4,
636.00,2.00523594E+4,
637.00,1.95436016E+4,
638.00,1.97255176E+4,
639.00,1.96945527E+4,
640.00,1.98630625E+4,
641.00,1.96484902E+4,
642.00,1.97147305E+4,
643.00,1.97162012E+4,
644.00,1.98023027E+4,
645.00,1.95125996E+4,
646.00,1.95387109E+4,
647.00,1.94864785E+4,
648.00,1.94894277E+4,
649.00,1.96871113E+4,
650.00,1.92402363E+4,
651.00,1.94360098E+4,
652.00,1.96835449E+4,
653.00,1.94702520E+4,
654.00,1.93855391E+4,
655.00,1.91803008E+4,
656.00,1.89967441E+4,
657.00,1.95964941E+4,
658.00,1.90678066E+4,
659.00,1.92566973E+4,
660.00,1.93287383E+4,
661.00,1.93791914E+4,
662.00,1.91636504E+4,
663.00,1.91626387E+4,
664.00,1.86518262E+4,
665.00,1.91880527E+4,
666.00,1.89361660E+4,
667.00,1.91229961E+4,
668.00,1.88185313E+4,
669.00,1.85983594E+4,
670.00,1.88628906E+4,
671.00,1.92921445E+4,
672.00,1.91376406E+4,
673.00,1.84320684E+4,
674.00,1.87290742E+4,
675.00,1.87374199E+4,
676.00,1.88255684E+4,
677.00,1.89135313E+4,
678.00,1.86005430E+4,
679.00,1.84765684E+4,
680.00,1.93873320E+4,
681.00,1.94785820E+4,
682.00,1.93888262E+4,
683.00,1.94042871E+4,
684.00,1.91018379E+4,
685.00,1.94739844E+4,
686.00,1.96278145E+4,
687.00,1.96770801E+4,
688.00,1.91724707E+4,
689.00,1.95874063E+4,
690.00,1.93999570E+4,
691.00,1.89378164E+4,
692.00,1.92933926E+4,
693.00,1.93315918E+4,
694.00,1.90654961E+4,
695.00,1.89493516E+4,
696.00,1.89936152E+4,
697.00,1.89661855E+4,
698.00,1.88908203E+4,
699.00,1.85890879E+4,
700.00,1.84501895E+4,
701.00,1.81927285E+4,
702.00,1.78636523E+4,
703.00,1.82972520E+4,
704.00,1.79331777E+4,
705.00,1.80988789E+4,
706.00,1.82524355E+4,
707.00,1.75572148E+4,
708.00,1.76984766E+4,
709.00,1.78630664E+4,
710.00,1.76927109E+4,
711.00,1.76259922E+4,
712.00,1.76293359E+4,
713.00,1.79597520E+4,
714.00,1.68106934E+4,
715.00,1.73609902E+4,
716.00,1.67692402E+4,
717.00,1.66943652E+4,
718.00,1.71477773E+4,
719.00,1.65325762E+4,
720.00,1.71569238E+4,
721.00,1.66289746E+4,
722.00,1.66235313E+4,
723.00,1.62862246E+4,
724.00,1.67471465E+4,
725.00,1.65410684E+4,
726.00,1.65380098E+4,
727.00,1.63075830E+4,
728.00,1.63161582E+4,
729.00,1.60664600E+4,
730.00,1.67428418E+4,
731.00,1.64383223E+4,
732.00,1.62213984E+4,
733.00,1.60904102E+4,
734.00,1.58190859E+4,
735.00,1.62320225E+4,
736.00,1.60339824E+4,
737.00,1.62054932E+4,
738.00,1.61431436E+4,
739.00,1.57077334E+4,
740.00,1.62399629E+4,
741.00,1.58575566E+4,
742.00,1.58950010E+4,
743.00,1.58676025E+4,
744.00,1.56989697E+4,
745.00,1.58914346E+4,
746.00,1.58933799E+4,
747.00,1.57779893E+4,
748.00,1.56157959E+4,
749.00,1.52200254E+4,
750.00,1.57806670E+4,
751.00,1.54623057E+4,
752.00,1.53565967E+4,
753.00,1.56011152E+4,
754.00,1.55793652E+4,
755.00,1.52931152E+4,
756.00,1.51209873E+4,
757.00,1.57107803E+4,
758.00,1.58104502E+4,
759.00,1.53599463E+4,
760.00,1.52440938E+4,
761.00,1.54159736E+4,
762.00,1.55285439E+4,
763.00,1.47988232E+4,
764.00,1.48656143E+4,
765.00,1.49098857E+4,
766.00,1.49638262E+4,
767.00,1.47745547E+4,
768.00,1.50463838E+4,
