Labels,810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.9999852,
Detector,Det2,

600.00,1.32359266E+5,
601.00,1.33582344E+5,
602.00,1.34550688E+5,
603.00,1.34786313E+5,
604.00,1.36230688E+5,
605.00,1.36164375E+5,
606.00,1.39142516E+5,
607.00,1.39532547E+5,
608.00,1.40371484E+5,
609.00,1.40111922E+5,
610.00,1.41103891E+5,
611.00,1.43217516E+5,
612.00,1.41762969E+5,
613.00,1.43456875E+5,
614.00,1.42221422E+5,
615.00,1.43731609E+5,
616.00,1.42499656E+5,
617.00,1.42287047E+5,
618.00,1.46782078E+5,
619.00,1.44635219E+5,
620.00,1.44404344E+5,
621.00,1.44841219E+5,
622.00,1.45418141E+5,
623.00,1.45022000E+5,
624.00,1.47541531E+5,
625.00,1.44955813E+5,
626.00,1.46804594E+5,
627.00,1.46189328E+5,
628.00,1.45930703E+5,
629.00,1.46468109E+5,
630.00,1.44096906E+5,
631.00,1.45527203E+5,
632.00,1.44930250E+5,
633.00,1.43036469E+5,
634.00,1.41715828E+5,
635.00,1.43334359E+5,
636.00,1.43901000E+5,
637.00,1.43194422E+5,
638.00,1.42299500E+5,
639.00,1.42331906E+5,
640.00,1.41453516E+5,
641.00,1.42131594E+5,
642.00,1.38563625E+5,
643.00,1.40664250E+5,
644.00,1.38913484E+5,
645.00,1.34979078E+5,
646.00,1.36205500E+5,
647.00,1.33473141E+5,
648.00,1.34724922E+5,
649.00,1.33634109E+5,
650.00,1.32761313E+5,
651.00,1.30637609E+5,
652.00,1.31083391E+5,
653.00,1.29374352E+5,
654.00,1.27648391E+5,
655.00,1.26682500E+5,
656.00,1.26842539E+5,
657.00,1.25898641E+5,
658.00,1.22460508E+5,
659.00,1.22614133E+5,
660.00,1.22087633E+5,
661.00,1.19160414E+5,
662.00,1.19494500E+5,
663.00,1.17459719E+5,
664.00,1.17030617E+5,
665.00,1.13699891E+5,
666.00,1.12441078E+5,
667.00,1.09967977E+5,
668.00,1.08253961E+5,
669.00,1.11582531E+5,
670.00,1.06329180E+5,
671.00,1.06422836E+5,
672.00,1.05964828E+5,
673.00,1.03917477E+5,
674.00,1.03337836E+5,
675.00,1.02818789E+5,
676.00,1.00407922E+5,
677.00,9.90381094E+4,
678.00,9.76280703E+4,
679.00,9.73571406E+4,
680.00,9.81760156E+4,
681.00,9.55113047E+4,
682.00,9.40910313E+4,
683.00,9.49815313E+4,
684.00,9.11130703E+4,
685.00,9.09727500E+4,
686.00,8.76815000E+4,
687.00,8.61582891E+4,
688.00,8.50310469E+4,
689.00,8.33436172E+4,
690.00,8.22508047E+4,
691.00,8.04093281E+4,
692.00,8.13927813E+4,
693.00,8.10852266E+4,
694.00,7.87023750E+4,
695.00,7.92632969E+4,
696.00,7.69911406E+4,
697.00,7.25012422E+4,
698.00,7.26984297E+4,
699.00,7.30099844E+4,
700.00,6.91958359E+4,
